"race_feedback","budget_shown","year_shown","duration_shown","race_pick","budget_pick","year_pick","duration_pick","gender","base_race","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","choice-8","race","age","gender_code","race_code","num_excluded_total"
0,1,1,1,1,1,0,1,"Man",0,"The Imitation Game","The King's Speech","The Founder","Coco Before Chanel","Hitchcock","Jobs","Oppenheimer","Ali","White / Caucasian",33,1,1,138
0,1,1,1,0,1,1,1,"Woman",2,"42","The Founder","The Greatest Showman","The Imitation Game","A Beautiful Day in the Neighborhood","Moneyball","Ali","Oppenheimer","White / Caucasian",21,0,1,138
1,1,0,1,0,1,1,1,"Man",2,"Jobs","42","Patton","Hitchcock","J. Edgar","Ali","Selma","Oppenheimer","Asian / Pacific Islander",23,1,0,138
1,1,1,0,0,0,1,1,"Woman",1,"A Beautiful Day in the Neighborhood","Tolkien","Oppenheimer","42","Jobs","Selma","Moneyball","On The Basis of Sex","White / Caucasian",43,0,1,138
1,1,0,1,0,0,1,0,"Woman",1,"Jobs","On The Basis of Sex","Walk the Line","Selma","Harriet","The King's Speech","Nixon","The Founder","White / Caucasian",33,0,1,138
0,1,1,1,0,0,1,1,"Woman",0,"Rocketman","Oppenheimer","Braveheart","Selma","The Greatest Showman","A Beautiful Day in the Neighborhood","Chappaquiddick","On The Basis of Sex","White / Caucasian",29,0,1,138
1,1,1,0,1,0,0,1,"Non-binary",2,"A Beautiful Day in the Neighborhood","Oppenheimer","Harriet","Selma","The Imitation Game","Ali","Rocketman","42","Asian / Pacific Islander",25,0,0,138
0,1,1,1,0,1,1,1,"Man",1,"42","The Greatest Showman","Jobs","Selma","Moneyball","Braveheart","Oppenheimer","Rocketman","White / Caucasian",21,1,1,138
0,1,1,1,0,0,0,0,"Man",1,"Selma","W. A Life Misunderstood","Harriet","The Imitation Game","The Founder","Patton","Chaplin","Coco Before Chanel","White / Caucasian",65,1,1,138
1,0,1,1,1,0,1,1,"Man",1,"A Beautiful Day in the Neighborhood","Selma","Ali","Jobs","The Founder","The Greatest Showman","Tolkien","Harriet","White / Caucasian",43,1,1,138
1,0,1,1,0,0,1,1,"Woman",1,"Coco Before Chanel","On The Basis of Sex","The Imitation Game","The Greatest Showman","W. A Life Misunderstood","Harriet","Walk the Line","J. Edgar","White / Caucasian",43,0,1,138
0,1,1,1,0,0,0,1,"Man",3,"Selma","A Beautiful Day in the Neighborhood","42","Hitchcock","Harriet","Walk the Line","Ali","Chaplin","Black or African American",55,1,0,138
1,0,1,1,0,0,1,0,"Man",1,"42","The Doors","On The Basis of Sex","Selma","J. Edgar","The Founder","Patton","Tolkien","White / Caucasian",28,1,1,138
1,1,1,0,0,1,1,1,"Woman",3,"A Beautiful Day in the Neighborhood","Rocketman","42","Selma","Harriet","Moneyball","Ali","Walk the Line","White / Caucasian",40,0,1,138
1,1,1,0,0,0,1,1,"Woman",1,"A Beautiful Day in the Neighborhood","The King's Speech","Rocketman","Ali","Oppenheimer","Walk the Line","The Greatest Showman","Jobs","White / Caucasian",42,0,1,138
0,1,1,1,0,1,1,1,"Woman",2,"The Greatest Showman","Selma","Jobs","42","Nixon","Hitchcock","Harriet","Moneyball","Black or African American",40,0,0,138
0,1,1,1,0,0,1,0,"Man",1,"Rocketman","The Imitation Game","Selma","Oppenheimer","A Beautiful Day in the Neighborhood","On The Basis of Sex","42","The Founder","White / Caucasian",21,1,1,138
0,1,1,1,0,1,0,1,"Woman",1,"The Founder","Coco Before Chanel","Moneyball","Rocketman","Ali","Jobs","Selma","Braveheart","Black or African American",33,0,0,138
1,1,0,1,1,0,1,1,"Woman",0,"Selma","Braveheart","A Beautiful Day in the Neighborhood","Walk the Line","Oppenheimer","Rocketman","On The Basis of Sex","Harriet","White / Caucasian",38,0,1,138
0,1,1,1,0,0,0,1,"Man",2,"Jobs","The King's Speech","Ali","Braveheart","42","Rocketman","W. A Life Misunderstood","Selma","Black or African American",35,1,0,138
1,1,0,1,0,0,0,1,"Woman",0,"The Founder","A Beautiful Day in the Neighborhood","The Greatest Showman","Jobs","Coco Before Chanel","Rocketman","Tolkien","Chaplin","White / Caucasian",30,0,1,138
1,0,1,1,0,0,0,1,"Man",1,"A Beautiful Day in the Neighborhood","Rocketman","Oppenheimer","Ali","Walk the Line","LBJ","Nixon","Selma","White / Caucasian",28,1,1,138
1,0,1,1,0,0,0,1,"Man",1,"A Beautiful Day in the Neighborhood","The Greatest Showman","Walk the Line","42","Oppenheimer","Moneyball","Rocketman","Selma","White / Caucasian",28,1,1,138
1,0,1,1,1,0,1,1,"Man",2,"Moneyball","The Founder","A Beautiful Day in the Neighborhood","42","The Greatest Showman","Patton","Ali","Harriet","White / Caucasian",28,1,1,138
0,1,1,1,0,1,0,1,"Woman",1,"A Beautiful Day in the Neighborhood","The Doors","Coco Before Chanel","On The Basis of Sex","Rocketman","Jobs","Harriet","Braveheart","White / Caucasian",40,0,1,138
0,1,1,1,1,0,0,1,"Man",2,"A Beautiful Day in the Neighborhood","Braveheart","Ali","Oppenheimer","Harriet","Selma","The Imitation Game","42","White / Caucasian",32,1,1,138
0,1,1,1,1,0,0,1,"Woman",1,"Rocketman","On The Basis of Sex","Harriet","Jobs","A Beautiful Day in the Neighborhood","Oppenheimer","Hitchcock","42","White / Caucasian",24,0,1,138
0,1,1,1,0,0,0,0,"Woman",2,"A Beautiful Day in the Neighborhood","The Doors","Ali","On The Basis of Sex","Harriet","Tolkien","Selma","Coco Before Chanel","White / Caucasian",20,0,1,138
1,1,1,0,0,0,1,0,"Man",1,"Rocketman","The Imitation Game","On The Basis of Sex","A Beautiful Day in the Neighborhood","Selma","Harriet","The Greatest Showman","Hitchcock","White / Caucasian",49,1,1,138
0,1,1,1,0,1,1,0,"Woman",0,"Oppenheimer","A Beautiful Day in the Neighborhood","The Imitation Game","On The Basis of Sex","Coco Before Chanel","Walk the Line","Tolkien","The Greatest Showman","Asian / Pacific Islander",30,0,0,138
1,0,1,1,1,1,0,1,"Woman",1,"The Imitation Game","42","The Aviator","Tolkien","Oppenheimer","Moneyball","On The Basis of Sex","Ali","White / Caucasian",30,0,1,138
0,1,1,1,0,0,1,0,"Woman",1,"42","Patton","Braveheart","Moneyball","Rocketman","Selma","Jobs","Tolkien","Black or African American",64,0,0,138
0,1,1,1,0,0,1,0,"Woman",0,"The Doors","Coco Before Chanel","Braveheart","Walk the Line","The King's Speech","The Aviator","The Greatest Showman","The Imitation Game","White / Caucasian",55,0,1,138
0,1,1,1,0,1,0,1,"Woman",1,"A Beautiful Day in the Neighborhood","42","Coco Before Chanel","The Greatest Showman","Walk the Line","Rocketman","Chappaquiddick","The Aviator","White / Caucasian",42,0,1,138
1,1,0,1,0,1,0,1,"Woman",2,"Ali","Rocketman","Harriet","The Greatest Showman","The Imitation Game","Coco Before Chanel","Walk the Line","Braveheart","Asian / Pacific Islander",19,0,0,138
1,1,1,0,1,0,1,1,"Man",1,"Jobs","Ali","Patton","The Founder","A Beautiful Mind","The Greatest Showman","Coco Before Chanel","Harriet","Asian / Pacific Islander",27,1,0,138
1,1,1,0,0,0,1,1,"Woman",3,"Selma","On The Basis of Sex","A Beautiful Day in the Neighborhood","42","Harriet","Rocketman","Ali","Jobs","White / Caucasian",58,0,1,138
0,1,1,1,1,1,0,1,"Woman",2,"Harriet","42","Selma","Jobs","Hitchcock","Oppenheimer","Walk the Line","Ali","White / Caucasian",49,0,1,138
1,0,1,1,1,0,0,1,"Woman",1,"On The Basis of Sex","The Greatest Showman","The Imitation Game","J. Edgar","A Beautiful Mind","The Founder","Harriet","42","White / Caucasian",71,0,1,138
0,1,1,1,0,1,0,1,"Woman",2,"Walk the Line","Ali","Coco Before Chanel","Tolkien","Harriet","Braveheart","J. Edgar","A Beautiful Mind","White / Caucasian",33,0,1,138
0,1,1,1,0,1,1,1,"Man",2,"Selma","A Beautiful Day in the Neighborhood","Harriet","Ali","The Imitation Game","Tolkien","On The Basis of Sex","Walk the Line","White / Caucasian",45,1,1,138
1,0,1,1,0,1,1,1,"Woman",3,"The Imitation Game","Rocketman","Harriet","42","On The Basis of Sex","Ali","A Beautiful Day in the Neighborhood","Oppenheimer","White / Caucasian",42,0,1,138
1,0,1,1,0,1,0,1,"Man",1,"The Greatest Showman","42","The Founder","Nixon","The Aviator","J. Edgar","Coco Before Chanel","A Beautiful Mind","White / Caucasian",42,1,1,138
1,1,0,1,0,0,0,1,"Man",0,"The Doors","A Beautiful Day in the Neighborhood","Rocketman","Oppenheimer","The Founder","Chaplin","The Imitation Game","Selma","White / Caucasian",36,1,1,138
0,1,1,1,0,0,1,1,"Woman",0,"Rocketman","The Founder","Walk the Line","Tolkien","The Doors","Braveheart","The Greatest Showman","Jobs","Hispanic / Latinx",40,0,0,138
1,1,1,0,1,1,0,1,"Man",1,"Chaplin","Harriet","Tolkien","Moneyball","A Beautiful Day in the Neighborhood","The Imitation Game","The Greatest Showman","Ali","Black or African American",29,1,0,138
1,1,1,0,0,0,1,0,"Man",0,"Oppenheimer","A Beautiful Day in the Neighborhood","The Aviator","Nixon","Patton","Selma","Capote","The Imitation Game","White / Caucasian",45,1,1,138
1,1,0,1,0,0,1,0,"Man",1,"The Imitation Game","The Greatest Showman","Ali","Rocketman","Jobs","The Doors","Walk the Line","A Beautiful Day in the Neighborhood","Asian / Pacific Islander",44,1,0,138
0,1,1,1,0,0,1,1,"Woman",2,"A Beautiful Day in the Neighborhood","Selma","Ali","Rocketman","Jobs","42","The Founder","On The Basis of Sex","White / Caucasian",23,0,1,138
1,0,1,1,0,0,1,0,"Woman",1,"Braveheart","The Greatest Showman","Rocketman","Harriet","Walk the Line","Tolkien","Coco Before Chanel","A Beautiful Day in the Neighborhood","White / Caucasian",56,0,1,138
0,1,1,1,0,1,1,1,"Woman",3,"Selma","42","Rocketman","A Beautiful Day in the Neighborhood","Jobs","Harriet","Ali","Walk the Line","White / Caucasian",26,0,1,138
1,1,0,1,0,0,1,1,"Woman",1,"Harriet","A Beautiful Mind","Tolkien","A Beautiful Day in the Neighborhood","The Imitation Game","The Aviator","On The Basis of Sex","Jobs","White / Caucasian",37,0,1,138
0,1,1,1,1,1,0,1,"Man",1,"Rocketman","Tolkien","Walk the Line","W. A Life Misunderstood","A Beautiful Day in the Neighborhood","The Doors","Harriet","Ali","American Indian or Alaskan Native",46,1,0,138
0,1,1,1,0,0,1,1,"Woman",0,"Hitchcock","Braveheart","Tolkien","Patton","The Greatest Showman","The Imitation Game","Oppenheimer","J. Edgar","Black or African American",29,0,0,138
0,1,1,1,0,0,0,1,"Woman",1,"The Aviator","The Founder","The King's Speech","Chaplin","42","On The Basis of Sex","Oppenheimer","Selma","White / Caucasian",56,0,1,138
0,1,1,1,1,1,0,1,"Woman",1,"The Imitation Game","Harriet","On The Basis of Sex","Capote","Tolkien","A Beautiful Day in the Neighborhood","Oppenheimer","Ali","White / Caucasian",48,0,1,138
1,1,0,1,0,0,1,0,"Woman",0,"Oppenheimer","Moneyball","Selma","Tolkien","Nixon","A Beautiful Day in the Neighborhood","Braveheart","The Imitation Game","White / Caucasian",46,0,1,138
1,0,1,1,0,0,0,1,"Woman",1,"Oppenheimer","A Beautiful Day in the Neighborhood","Ali","Walk the Line","The King's Speech","The Greatest Showman","The Aviator","Selma","White / Caucasian",25,0,1,138
1,0,1,1,0,0,0,1,"Man",3,"Ali","Selma","42","Moneyball","The Greatest Showman","On The Basis of Sex","Harriet","The Doors","White / Caucasian",44,1,1,138
0,1,1,1,0,1,0,1,"Woman",0,"Selma","On The Basis of Sex","J. Edgar","Walk the Line","Jobs","The Doors","A Beautiful Day in the Neighborhood","A Beautiful Mind","White / Caucasian",43,0,1,138
0,1,1,1,0,1,0,0,"Non-binary",2,"Selma","Oppenheimer","J. Edgar","Harriet","On The Basis of Sex","Ali","Jobs","The King's Speech","White / Caucasian",30,0,1,138
0,1,1,1,0,0,1,1,"Woman",0,"The Aviator","Selma","Nixon","W. A Life Misunderstood","Chaplin","LBJ","Coco Before Chanel","On The Basis of Sex","Asian / Pacific Islander",55,0,0,138
0,1,1,1,0,0,1,0,"Man",1,"Capote","Nixon","Jobs","Ali","A Beautiful Mind","LBJ","The Imitation Game","A Beautiful Day in the Neighborhood","White / Caucasian",41,1,1,138
0,1,1,1,0,1,1,0,"Non-binary",1,"Walk the Line","Chaplin","Tolkien","A Beautiful Day in the Neighborhood","Harriet","The Imitation Game","On The Basis of Sex","The Greatest Showman","White / Caucasian",41,0,1,138
0,1,1,1,0,0,0,1,"Woman",2,"A Beautiful Day in the Neighborhood","Braveheart","Oppenheimer","On The Basis of Sex","Harriet","Ali","Walk the Line","Selma","White / Caucasian",36,0,1,138
0,1,1,1,0,0,1,1,"Woman",1,"Rocketman","Ali","Braveheart","The Greatest Showman","A Beautiful Day in the Neighborhood","Jobs","Tolkien","On The Basis of Sex","White / Caucasian",22,0,1,138
0,1,1,1,0,0,1,1,"Man",1,"Oppenheimer","Coco Before Chanel","A Beautiful Day in the Neighborhood","The Founder","Moneyball","42","The Aviator","On The Basis of Sex","White / Caucasian",48,1,1,138
1,1,1,0,0,0,1,1,"Woman",2,"42","The Imitation Game","Oppenheimer","On The Basis of Sex","Harriet","A Beautiful Day in the Neighborhood","Selma","Jobs","White / Caucasian",73,0,1,138
1,1,1,0,0,0,1,0,"Man",1,"Oppenheimer","The Aviator","The Founder","A Beautiful Day in the Neighborhood","The King's Speech","J. Edgar","42","The Imitation Game","White / Caucasian",37,1,1,138
0,1,1,1,0,1,0,1,"Woman",3,"Chaplin","Selma","A Beautiful Day in the Neighborhood","42","Ali","Harriet","Walk the Line","A Beautiful Mind","Black or African American",27,0,0,138
0,1,1,1,0,1,0,1,"Woman",3,"The Greatest Showman","42","Oppenheimer","Harriet","Ali","Rocketman","Selma","Braveheart","White / Caucasian",23,0,1,138
1,1,0,1,0,1,0,1,"Woman",1,"The King's Speech","LBJ","Harriet","Rocketman","A Beautiful Day in the Neighborhood","Hitchcock","Walk the Line","The Aviator","White / Caucasian",70,0,1,138
1,1,0,1,0,0,1,0,"Woman",0,"J. Edgar","Walk the Line","Patton","LBJ","Nixon","A Beautiful Mind","The Founder","The Imitation Game","White / Caucasian",29,0,1,138
1,1,1,0,1,0,1,1,"Woman",1,"Ali","Jobs","The Imitation Game","The Doors","On The Basis of Sex","Nixon","Oppenheimer","Harriet","Asian / Pacific Islander",35,0,0,138
1,1,0,1,0,1,1,1,"Man",2,"Tolkien","The Greatest Showman","Ali","Oppenheimer","The Imitation Game","Harriet","Selma","Rocketman","White / Caucasian",44,1,1,138
1,0,1,1,0,1,0,1,"Woman",0,"A Beautiful Day in the Neighborhood","Coco Before Chanel","Walk the Line","The Doors","Chaplin","The Greatest Showman","The Founder","The Aviator","White / Caucasian",51,0,1,138
1,0,1,1,0,0,0,0,"Woman",2,"Ali","Harriet","Selma","A Beautiful Mind","Tolkien","Rocketman","On The Basis of Sex","Capote","White / Caucasian",48,0,1,138
0,1,1,1,1,0,1,1,"Man",0,"A Beautiful Day in the Neighborhood","Tolkien","Chaplin","The Founder","Hitchcock","Oppenheimer","The Imitation Game","Harriet","White / Caucasian",39,1,1,138
0,1,1,1,0,1,1,1,"Man",0,"A Beautiful Day in the Neighborhood","Oppenheimer","The Aviator","Hitchcock","Patton","Tolkien","Braveheart","Walk the Line","White / Caucasian",55,1,1,138
1,0,1,1,0,1,1,0,"Man",1,"Capote","A Beautiful Day in the Neighborhood","Jobs","The Founder","On The Basis of Sex","Oppenheimer","Harriet","The Greatest Showman","White / Caucasian",50,1,1,138
