"gender_feedback","forms_shown","sold30m_shown","classic_shown","female_pick","forms_pick","sold30m_pick","classic_pick","base_gender","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","gender_code","race_code","poli","poli_numeric","poli_centered","poli_party","party_democrat","party_independent","party_republican","internal1Z","internal2Z","internal3Z","internal4Z","internal","external1Z","external2Z","external3Z","external","num_excluded_total"
1,1,1,0,1,0,0,1,2,"Joyce Carol Oates","Charles Dickens","Jorge Luis Borges","Zadie Smith","Herman Melville","Jack London","Jane Austen","Asian / Pacific Islander","Man",34,1,0,"4Moderate; middle of the road",4,0,"Democrat",1,0,0,0.361218396310962,0.371576179084803,0.300198512453564,0.32930688402912,0.340574992969612,0.651789559502,0.67226092220067,0.76407669921051,0.696042393637727,143
0,1,1,1,0,0,0,1,2,"Michael Crichton","Neil Gaiman","Sylvia Plath","J.R.R. Tolkien","F. Scott Fitzgerald","Jane Austen","Jack London","White / Caucasian","Man",51,1,1,"6Conservative",6,2,"Republican",0,0,1,-1.15710628344737,-1.17520576364338,-1.20328739294095,-1.22115828913762,-1.18918943229233,-1.05428233171833,-1.03529314724754,-0.986448565318128,-1.02534134809466,143
1,1,1,0,0,1,0,1,2,"Charles Dickens","Jane Austen","Lucy Maud","J.R.R. Tolkien","Ray Bradbury","Jack London","Herman Melville","White / Caucasian","Woman",34,0,1,"6Conservative",6,2,"Republican",0,0,1,-0.650998056861261,-0.659611782733988,-0.70212542447611,-0.70433656474871,-0.679267957205017,-0.485591701311551,-0.466108457431467,-0.402940143808582,-0.4515467675172,143
1,1,1,0,0,1,0,0,2,"Charles Dickens","Ernest Hemingway","Kurt Vonnegut","Jack London","Zadie Smith","Isabel Allende","Cormac McCarthy","White / Caucasian","Man",20,1,1,"4Moderate; middle of the road",4,0,"Independent",0,1,0,-1.15710628344737,-1.17520576364338,-1.20328739294095,-1.22115828913762,-1.18918943229233,-1.05428233171833,-1.03529314724754,-0.986448565318128,-1.02534134809466,143
0,1,1,1,1,1,1,0,1,"Herman Melville","Nathaniel Hawthorne","George Orwell","J.R.R. Tolkien","Jorge Luis Borges","Jane Austen","Isabel Allende","White / Caucasian","Man",36,1,1,"3Slightly liberal",3,-1,"Independent",0,1,0,1.37343484948319,0.887170159994198,0.801360480918402,0.846128608418034,0.977023524703455,1.78917082031555,1.81063030183281,1.9310935422296,1.84363155479265,143
1,1,1,0,1,1,0,0,2,"George Orwell","F. Scott Fitzgerald","Jane Austen","Ray Bradbury","Nathaniel Hawthorne","Isabel Allende","Joyce Carol Oates","Hispanic / Latinx","Man",22,1,0,"2Liberal",2,-2,"Democrat",1,0,0,1.8795430760693,1.91835812181299,1.80368441784808,1.87977205719586,1.87033941823156,-0.485591701311551,1.24144561201674,-0.402940143808582,0.117637922298869,143
1,1,0,1,0,0,0,1,1,"Nathaniel Hawthorne","Charles Dickens","Ernest Hemingway","J.R.R. Tolkien","Sylvia Plath","George Orwell","John Steinbeck","Hispanic / Latinx","Man",32,1,0,"4Moderate; middle of the road",4,0,"Independent",0,1,0,-1.15710628344737,-0.659611782733988,-1.20328739294095,-0.70433656474871,-0.931085505967755,-1.05428233171833,-1.03529314724754,-0.986448565318128,-1.02534134809466,143
0,1,1,1,1,0,0,0,2,"George Orwell","Gabriel Garcia Marquez","Ernest Hemingway","Sylvia Plath","Joyce Carol Oates","F. Scott Fitzgerald","Zadie Smith","White / Caucasian","Man",27,1,1,"2Liberal",2,-2,"Independent",0,1,0,-0.144889830275149,1.40276414090359,1.30252244938324,0.846128608418034,0.851631342107429,0.0830989290952247,1.24144561201674,0.180568277700964,0.501704272937643,143
0,1,1,1,1,0,0,1,2,"J.D. Salinger","Zadie Smith","F. Scott Fitzgerald","Kurt Vonnegut","Jane Austen","George Orwell","Sylvia Plath","Black or African American","Woman",24,0,0,"1Extremely liberal",1,-3,"Independent",0,1,0,1.8795430760693,1.91835812181299,1.80368441784808,1.87977205719586,1.87033941823156,2.35786145072233,1.81063030183281,-0.986448565318128,1.06068106241234,143
0,1,1,1,0,1,1,1,1,"Charles Dickens","Ernest Hemingway","J.D. Salinger","George Saunders","J.R.R. Tolkien","Isabel Allende","Gabriel Garcia Marquez","Asian / Pacific Islander","Man",25,1,0,"2Liberal",2,-2,"Democrat",1,0,0,-0.650998056861261,-0.659611782733988,-0.200963456011273,-0.70433656474871,-0.553977465088808,-0.485591701311551,-0.466108457431467,-0.986448565318128,-0.646049574687049,143
0,1,1,1,0,0,0,1,0,"Nathaniel Hawthorne","Ray Bradbury","J.R.R. Tolkien","Herman Melville","Charles Dickens","J.D. Salinger","Jack London","White / Caucasian","Man",56,1,1,"6Conservative",6,2,"Republican",0,0,1,-0.650998056861261,-0.659611782733988,-0.70212542447611,-0.70433656474871,-0.679267957205017,-1.05428233171833,-0.466108457431467,-0.402940143808582,-0.641110310986125,143
0,1,1,1,0,0,0,1,2,"Charles Dickens","Zadie Smith","Sylvia Plath","J.R.R. Tolkien","Ray Bradbury","Michael Crichton","John Steinbeck","Black or African American","Non-binary",35,0,0,"1Extremely liberal",1,-3,"Democrat",1,0,0,-1.15710628344737,-1.17520576364338,-1.20328739294095,-1.22115828913762,-1.18918943229233,-1.05428233171833,-1.03529314724754,-0.986448565318128,-1.02534134809466,143
1,1,1,0,0,0,0,1,2,"George Orwell","Ernest Hemingway","Nathaniel Hawthorne","F. Scott Fitzgerald","Lucy Maud","Jane Austen","John Steinbeck","White / Caucasian","Woman",52,0,1,"6Conservative",6,2,"Republican",0,0,1,-0.650998056861261,-0.659611782733988,-0.70212542447611,-0.70433656474871,-0.679267957205017,-0.485591701311551,-0.466108457431467,-0.402940143808582,-0.4515467675172,143
1,1,0,1,1,0,0,1,0,"Ernest Hemingway","George Orwell","Herman Melville","J.R.R. Tolkien","John Steinbeck","F. Scott Fitzgerald","Jane Austen","White / Caucasian","Man",31,1,1,"5Slightly conservative",5,1,"Republican",0,0,1,-0.650998056861261,-0.659611782733988,-0.70212542447611,-0.70433656474871,-0.679267957205017,-1.05428233171833,0.103076232384602,0.180568277700964,-0.256879273877587,143
0,1,1,1,0,0,1,1,0,"Jack London","George Orwell","Ray Bradbury","Herman Melville","Michael Crichton","Neil Gaiman","F. Scott Fitzgerald","Asian / Pacific Islander","Man",39,1,0,"4Moderate; middle of the road",4,0,"Republican",0,0,1,0.361218396310962,0.371576179084803,0.300198512453564,0.32930688402912,0.340574992969612,0.651789559502,0.67226092220067,0.76407669921051,0.696042393637727,143
1,1,1,0,1,1,1,1,2,"Jane Austen","Jack London","J.R.R. Tolkien","Kurt Vonnegut","Gabriel Garcia Marquez","Zadie Smith","Lucy Maud","White / Caucasian","Woman",28,0,1,"1Extremely liberal",1,-3,"Democrat",1,0,0,1.37343484948319,0.371576179084803,1.80368441784808,0.846128608418034,1.09870601370852,0.0830989290952247,-1.03529314724754,-0.986448565318128,-0.646214261156813,143
0,1,1,1,1,0,0,1,3,"Joyce Carol Oates","Isabel Allende","Michael Crichton","Zadie Smith","Cormac McCarthy","Jack London","Sylvia Plath","White / Caucasian","Woman",44,0,1,"2Liberal",2,-2,"Democrat",1,0,0,-0.650998056861261,-0.659611782733988,-0.70212542447611,-0.70433656474871,-0.679267957205017,-0.485591701311551,-0.466108457431467,-0.402940143808582,-0.4515467675172,143
1,1,0,1,1,0,0,1,1,"Ernest Hemingway","Jane Austen","George Orwell","John Steinbeck","Charles Dickens","J.R.R. Tolkien","Sylvia Plath","Hispanic / Latinx","Man",36,1,0,"4Moderate; middle of the road",4,0,"Independent",0,1,0,1.8795430760693,0.887170159994198,1.30252244938324,0.32930688402912,1.09963564236896,0.0830989290952247,2.37981499164888,-0.402940143808582,0.686657925645173,143
1,1,1,0,1,0,0,1,1,"George Orwell","John Steinbeck","J.R.R. Tolkien","Nathaniel Hawthorne","Lucy Maud","Jack London","Jane Austen","White / Caucasian","Man",49,1,1,"6Conservative",6,2,"Republican",0,0,1,-0.144889830275149,-0.144017801824593,-1.20328739294095,-0.187514840359795,-0.419927466350121,1.22048018990878,1.24144561201674,1.34758512072006,1.26983697421519,143
