"gender_feedback","budget_shown","year_shown","poli_shown","female_pick","budget_pick","year_pick","poli_pick","gender","base_gender","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","age","gender_code","race_code"
0,1,1,1,0,1,1,0,"Man",3,"Amadeus","The Iron Lady","Marie Antoinette","Coco Before Chanel","The Imitation Game","Hitchcock","Moneyball","White / Caucasian",25,1,1
0,1,1,1,0,1,1,0,"Woman",3,"Capote","On The Basis of Sex","Hitchcock","Judy","Marie Antoinette","Amadeus","Oppenheimer","Black or African American",30,0,0
1,0,1,1,0,0,0,0,"Woman",1,"Chaplin","Jobs","Lincoln","Oppenheimer","Coco Before Chanel","The Imitation Game","Amadeus","White / Caucasian",28,0,1
1,1,1,0,1,0,0,0,"Man",2,"A Beautiful Day in the Neighborhood","Judy","On The Basis of Sex","Capote","A Beautiful Mind","Amadeus","Coco Before Chanel","White / Caucasian",44,1,1
1,1,1,0,1,0,1,1,"Man",1,"A Beautiful Mind","Braveheart","The Imitation Game","Tolkien","Moneyball","Coco Before Chanel","On The Basis of Sex","White / Caucasian",29,1,1
1,1,1,0,0,1,1,1,"Man",1,"The Doors","Braveheart","Marie Antoinette","Oppenheimer","JFK","Nixon","Lincoln","White / Caucasian",56,1,1
0,1,1,1,0,1,1,0,"Woman",2,"The Doors","Jobs","Judy","Marie Antoinette","Nixon","The Darkest Hour","Moneyball","White / Caucasian",36,0,1
1,1,1,0,1,0,0,0,"Man",1,"The Imitation Game","Braveheart","Oppenheimer","Jobs","The Darkest Hour","On The Basis of Sex","Coco Before Chanel","Asian / Pacific Islander",33,1,0
0,1,1,1,0,0,1,0,"Man",1,"Lincoln","Jobs","Chaplin","Coco Before Chanel","J. Edgar","The Aviator","The Imitation Game","Black or African American",38,1,0
0,1,1,1,0,0,0,0,"Man",0,"Lincoln","Amadeus","Oppenheimer","Braveheart","Tolkien","Moneyball","The Doors","White / Caucasian",35,1,1
1,1,1,0,0,0,1,0,"Woman",2,"Lincoln","The Iron Lady","Hitchcock","J. Edgar","Amadeus","On The Basis of Sex","The Imitation Game","White / Caucasian",63,0,1
0,1,1,1,0,0,1,0,"Man",0,"Lincoln","Oppenheimer","The Aviator","A Beautiful Day in the Neighborhood","The Darkest Hour","J. Edgar","Jobs","White / Caucasian",35,1,1
1,0,1,1,0,0,1,0,"Man",1,"The Iron Lady","The Doors","Braveheart","Moneyball","Nixon","Oppenheimer","Jobs","White / Caucasian",26,1,1
0,1,1,1,1,0,1,1,"Woman",0,"Nixon","A Beautiful Mind","Tolkien","The Darkest Hour","Oppenheimer","The Doors","On The Basis of Sex","White / Caucasian",41,0,1
1,0,1,1,0,0,0,0,"Man",0,"A Beautiful Day in the Neighborhood","Moneyball","Jobs","The Aviator","W. A Life Misunderstood","Amadeus","Chaplin","White / Caucasian",49,1,1
