"gender_feedback","pages_shown","year_shown","entertainer_shown","female_pick","pages_pick","year_pick","entertainer_pick","gender","base_gender","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","age","gender_code","race_code"
1,1,0,1,0,0,1,1,"Man",0,"Anthony Bourdain","John Stamos","Napoleon Bonaparte","Tennessee Williams","Thomas Jefferson","J. Robert Oppenheimer","Johnny Cash","American Indian or Alaskan Native",20,1,0
1,0,1,1,0,0,1,1,"Man",2,"Tina Fey","Nelson Mandela","Steve Jobs","Che Guevara","Helen Keller","J. Robert Oppenheimer","Anthony Bourdain","White / Caucasian",22,1,1
1,0,1,1,0,0,0,0,"Woman",4,"Barbra Streisand","Tina Fey","Helen Keller","Anne Frank","J. Robert Oppenheimer","Anthony Bourdain","Nelson Mandela","White / Caucasian",40,0,1
0,1,1,1,1,0,0,0,"Another gender not listed here:",1,"Michael J. Fox","Thomas Jefferson","Willie Nelson","J. Robert Oppenheimer","Napoleon Bonaparte","Anne Frank","Helen Keller","Asian / Pacific Islander",NA,0,0
0,1,1,1,0,0,0,0,"Man",1,"J. Robert Oppenheimer","John Stamos","Steve Jobs","Theodore Roosevelt","Helen Keller","Henry Winkler","Nelson Mandela","Black or African American",20,1,0
0,1,1,1,1,1,1,1,"Man",2,"Nelson Mandela","Steve Jobs","Helen Keller","Mark Twain","Anne Frank","Andrew Jackson","Tina Fey","Asian / Pacific Islander",NA,1,0
1,1,0,1,0,0,1,0,"Man",1,"Anne Frank","Steve Jobs","Anthony Bourdain","Nelson Mandela","J. Robert Oppenheimer","Andrew Jackson","Mark Twain","Asian / Pacific Islander",21,1,0
1,1,0,1,1,0,1,0,"Woman",1,"Nelson Mandela","Helen Keller","Robin Williams","Steve Jobs","Thomas Jefferson","Mark Twain","Jackie Kennedy","Black or African American",36,0,0
1,1,1,0,1,0,1,0,"Woman",3,"Helen Keller","Anne Frank","Barbra Streisand","Nelson Mandela","Michael J. Fox","Theodore Roosevelt","Jackie Kennedy","Asian / Pacific Islander",20,0,0
0,1,1,1,0,1,1,1,"Man",1,"Steve Jobs","J. Robert Oppenheimer","Johnny Cash","Nelson Mandela","Anne Frank","Mark Twain","Willie Nelson","White / Caucasian",22,1,1
0,1,1,1,0,0,1,0,"Man",1,"Nelson Mandela","Steve Jobs","Thomas Jefferson","Anne Frank","Mark Twain","J. Robert Oppenheimer","Napoleon Bonaparte","Asian / Pacific Islander",21,1,0
0,1,1,1,0,0,0,0,"Man",1,"Nelson Mandela","Steve Jobs","Anne Frank","J. Robert Oppenheimer","Andrew Jackson","Che Guevara","Thomas Jefferson","White / Caucasian",19,1,1
