"gender_feedback","forms_shown","sold30m_shown","classic_shown","female_pick","forms_pick","sold30m_pick","classic_pick","base_gender","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","gender_code","race_code","poli","poli_numeric","poli_centered","poli_party","party_democrat","party_independent","party_republican","internal1Z","internal2Z","internal3Z","internal4Z","internal","external1Z","external2Z","external3Z","external","num_excluded_total"
1,1,1,0,1,0,0,1,2,"Joyce Carol Oates","Charles Dickens","Jorge Luis Borges","Zadie Smith","Herman Melville","Jack London","Jane Austen","Asian / Pacific Islander","Man",34,1,0,"4Moderate; middle of the road",4,0,"Democrat",1,0,0,0.360306125380367,0.37128810288406,0.30045146752404,0.327143307848015,0.339797250909121,0.652032424323613,0.673356005303233,0.767855301629215,0.697747910418687,126
0,1,1,1,0,0,0,1,2,"Michael Crichton","Neil Gaiman","Sylvia Plath","J.R.R. Tolkien","F. Scott Fitzgerald","Jane Austen","Jack London","White / Caucasian","Man",51,1,1,"6Conservative",6,2,"Republican",0,0,1,-1.15783766133466,-1.17359998123824,-1.20180587009616,-1.22085341698487,-1.18852423241348,-1.05337060354983,-1.03422473511071,-0.986574176579196,-1.02472317174658,126
1,1,1,0,0,1,0,1,2,"Charles Dickens","Jane Austen","Lucy Maud","J.R.R. Tolkien","Ray Bradbury","Jack London","Herman Melville","White / Caucasian","Woman",34,0,1,"6Conservative",6,2,"Republican",0,0,1,-0.651789732429653,-0.658637286530808,-0.701053424222761,-0.704854508707238,-0.679083737972615,-0.484902927592016,-0.465031154972732,-0.401764350509726,-0.450566144358158,126
1,1,1,0,0,1,0,0,2,"Charles Dickens","Ernest Hemingway","Kurt Vonnegut","Jack London","Zadie Smith","Isabel Allende","Cormac McCarthy","White / Caucasian","Man",20,1,1,"4Moderate; middle of the road",4,0,"Independent",0,1,0,-1.15783766133466,-1.17359998123824,-1.20180587009616,-1.22085341698487,-1.18852423241348,-1.05337060354983,-1.03422473511071,-0.986574176579196,-1.02472317174658,126
0,1,1,1,1,1,1,0,1,"Herman Melville","Nathaniel Hawthorne","George Orwell","J.R.R. Tolkien","Jorge Luis Borges","Jane Austen","Isabel Allende","White / Caucasian","Man",36,1,1,"3Slightly liberal",3,-1,"Independent",0,1,0,1.37240198319039,0.886250797591493,0.801203913397441,0.843142216125642,0.975749727576241,1.78896777623924,1.8117431655792,1.93747495376816,1.84606196519553,126
1,1,1,0,1,1,0,0,2,"George Orwell","F. Scott Fitzgerald","Jane Austen","Ray Bradbury","Nathaniel Hawthorne","Isabel Allende","Joyce Carol Oates","Hispanic / Latinx","Man",22,1,0,"2Liberal",2,-2,"Democrat",1,0,0,1.8784499120954,1.91617618700636,1.80270880514424,1.8751400326809,1.86811873423172,-0.484902927592016,1.24254958544122,-0.401764350509726,0.118627435779825,126
1,1,0,1,0,0,0,1,1,"Nathaniel Hawthorne","Charles Dickens","Ernest Hemingway","J.R.R. Tolkien","Sylvia Plath","George Orwell","John Steinbeck","Hispanic / Latinx","Man",32,1,0,"4Moderate; middle of the road",4,0,"Independent",0,1,0,-1.15783766133466,-0.658637286530808,-1.20180587009616,-0.704854508707238,-0.930783831667217,-1.05337060354983,-1.03422473511071,-0.986574176579196,-1.02472317174658,126
0,1,1,1,1,0,0,0,2,"George Orwell","Gabriel Garcia Marquez","Ernest Hemingway","Sylvia Plath","Joyce Carol Oates","F. Scott Fitzgerald","Zadie Smith","White / Caucasian","Man",27,1,1,"2Liberal",2,-2,"Independent",0,1,0,-0.145741803524643,1.40121349229893,1.30195635927084,0.843142216125642,0.850142566042692,0.0835647483657986,1.24254958544122,0.183045475559744,0.50305326978892,126
0,1,1,1,1,0,0,1,2,"J.D. Salinger","Zadie Smith","F. Scott Fitzgerald","Kurt Vonnegut","Jane Austen","George Orwell","Sylvia Plath","Black or African American","Woman",24,0,0,"1Extremely liberal",1,-3,"Independent",0,1,0,1.8784499120954,1.91617618700636,1.80270880514424,1.8751400326809,1.86811873423172,2.35743545219706,1.8117431655792,-0.986574176579196,1.06086814706569,126
0,1,1,1,0,1,1,1,1,"Charles Dickens","Ernest Hemingway","J.D. Salinger","George Saunders","J.R.R. Tolkien","Isabel Allende","Gabriel Garcia Marquez","Asian / Pacific Islander","Man",25,1,0,"2Liberal",2,-2,"Democrat",1,0,0,-0.651789732429653,-0.658637286530808,-0.20030097834936,-0.704854508707238,-0.553895626504265,-0.484902927592016,-0.465031154972732,-0.986574176579196,-0.645502753047981,126
