"gender_feedback","award_shown","classic_shown","forms_shown","female_pick","award_pick","classic_pick","forms_pick","base_gender","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","gender_code","race_code","poli","poli_numeric","poli_centered","internal1Z","internal2Z","internal3Z","internal4Z","internal","external1Z","external2Z","external3Z","external","num_excluded_total"
1,1,0,1,0,1,1,1,2,"Ray Bradbury","Lucy Maud","Sylvia Plath","Charles Dickens","Cormac McCarthy","Ian McEwan","Gabriel Garcia Marquez","American Indian or Alaskan Native","Woman",22,0,0,"4Moderate; middle of the road",4,0,0.525405370839096,-0.51634594029187,0.413171409260378,0.500923572518074,0.23078860308142,0.609688785443931,-0.390556891778219,0.652068289784015,0.290400061149909,73
0,1,1,1,1,0,1,1,2,"Joyce Carol Oates","Cormac McCarthy","Ian McEwan","Nathaniel Hawthorne","Ray Bradbury","Zadie Smith","Lucy Maud","Asian / Pacific Islander","Woman",22,0,0,"4Moderate; middle of the road",4,0,0.0324324302987097,-0.0099937923927457,-0.0892450244002415,-0.0170382167523155,-0.0209611508116482,0.106032832251119,0.139484604206507,0.156496389548164,0.134004608668596,73
1,0,1,1,0,0,1,0,2,"Lucy Maud","Jane Austen","George Orwell","John Steinbeck","Ernest Hemingway","J.D. Salinger","Charles Dickens","White / Caucasian","Woman",39,0,1,"7Extremely conservative",7,3,-0.953513450782064,-1.02269808819099,-1.09407789172148,-1.05296179529309,-1.03081280649691,-0.901279074134507,-0.920598387762946,-0.834647410923539,-0.885508290940331,73
0,1,1,1,1,1,0,1,0,"Charles Dickens","Ray Bradbury","George Orwell","F. Scott Fitzgerald","Nathaniel Hawthorne","Kurt Vonnegut","Joyce Carol Oates","White / Caucasian","Man",47,1,1,"6Conservative",6,2,1.51135125191987,0.496358355506378,0.915587842920998,0.500923572518074,0.85605525571633,1.61700069182956,0.669526100191233,1.14764019001987,1.14472232734689,73
0,1,1,1,0,0,1,0,0,"Cormac McCarthy","Ernest Hemingway","Herman Melville","J.R.R. Tolkien","Charles Dickens","Neil Gaiman","Michael Crichton","White / Caucasian","Man",36,1,1,"3Slightly liberal",3,-1,0.0324324302987097,-0.0099937923927457,-0.0892450244002415,-1.05296179529309,-0.279942045446843,-0.901279074134507,-0.920598387762946,0.156496389548164,-0.55512702411643,73
1,0,1,1,0,0,1,0,1,"J.D. Salinger","Nathaniel Hawthorne","Sylvia Plath","Michael Crichton","John Steinbeck","George Orwell","Charles Dickens","White / Caucasian","Man",47,1,1,"4Moderate; middle of the road",4,0,-0.953513450782064,-1.02269808819099,-1.09407789172148,-1.05296179529309,-1.03081280649691,-0.901279074134507,-0.920598387762946,-0.834647410923539,-0.885508290940331,73
0,1,1,1,0,0,1,0,0,"John Steinbeck","Kurt Vonnegut","George Orwell","Ian McEwan","Cormac McCarthy","Neil Gaiman","Charles Dickens","White / Caucasian","Man",55,1,1,"3Slightly liberal",3,-1,1.51135125191987,-1.02269808819099,-1.09407789172148,-1.05296179529309,-0.414596630821425,-0.901279074134507,-0.920598387762946,-0.834647410923539,-0.885508290940331,73
1,1,0,1,0,0,1,0,2,"Lucy Maud","Jane Austen","Ernest Hemingway","John Steinbeck","Nathaniel Hawthorne","F. Scott Fitzgerald","Michael Crichton","White / Caucasian","Woman",47,0,1,"7Extremely conservative",7,3,-1.44648639132245,-1.52905023609012,-1.5964943253821,-1.57092358456348,-1.53573863433954,-1.40493502732732,-1.45063988374767,-1.33021931115939,-1.39526474074479,73
1,1,1,0,0,0,1,0,2,"Zadie Smith","George Orwell","Jack London","Joyce Carol Oates","Herman Melville","J.R.R. Tolkien","Nathaniel Hawthorne","White / Caucasian","Man",60,1,1,"4Moderate; middle of the road",4,0,-1.44648639132245,-1.52905023609012,-1.5964943253821,-1.57092358456348,-1.53573863433954,-1.40493502732732,-1.45063988374767,-1.33021931115939,-1.39526474074479,73
0,1,1,1,1,0,1,1,2,"Charles Dickens","George Orwell","Ernest Hemingway","Jane Austen","Sylvia Plath","Jack London","Lucy Maud","White / Caucasian","Woman",37,0,1,"6Conservative",6,2,-1.44648639132245,-1.52905023609012,-1.5964943253821,-1.57092358456348,-1.53573863433954,-1.40493502732732,-1.45063988374767,-1.33021931115939,-1.39526474074479,73
