"minority_feedback","forms_shown","sold30m_shown","classic_shown","minority_pick","forms_pick","sold30m_pick","classic_pick","base_minority","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","gender_code","race_code","poli","poli_numeric","poli_centered","poli_party","party_democrat","party_independent","party_republican","internal1Z","internal2Z","internal3Z","internal4Z","internal","external1Z","external2Z","external3Z","external","num_excluded_total"
0,1,1,1,0,1,1,1,3,"Agatha Christie","Ernest Hemingway","Sandra Cisneros","Gabriel Garcia Marquez","Alice Walker","F. Scott Fitzgerald","J.R.R. Tolkien","Hispanic / Latinx","Man",37,1,0,"1Extremely liberal",1,-3,"Democrat",1,0,0,-1.08695655223542,-0.629286341266444,-1.1302500677506,-1.10564920917061,-0.988035542605769,-0.934077547247848,-0.967724369004566,-0.89626510007028,-0.932689005440898,36
0,1,1,1,0,0,0,0,2,"Gabriel Garcia Marquez","J.R.R. Tolkien","Isabel Allende","Agatha Christie","Jack London","Ray Bradbury","Michael Crichton","White / Caucasian","Woman",35,0,1,"4Moderate; middle of the road",4,0,"Independent",0,1,0,-1.08695655223542,-1.12811088007521,-1.1302500677506,-1.10564920917061,-1.11274167730796,-0.934077547247848,-0.967724369004566,-0.89626510007028,-0.932689005440898,36
1,0,1,1,0,0,0,1,0,"Lucy Maud","Louisa May Alcott","Agatha Christie","F. Scott Fitzgerald","Jane Austen","Emily Bronte","Nathaniel Hawthorne","White / Caucasian","Woman",40,0,1,"7Extremely conservative",7,3,"Republican",0,0,1,1.55589292015744,-0.629286341266444,0.833213301615697,0.361028313198567,0.530212048426314,1.89426285202747,-0.406098619135845,-0.303818677989925,0.394781851633899,36
1,0,1,1,1,1,0,1,1,"Ray Bradbury","Sandra Cisneros","Herman Melville","Joyce Carol Oates","George Orwell","Agatha Christie","WEB Du Bois","White / Caucasian","Woman",60,0,1,"4Moderate; middle of the road",4,0,"Democrat",1,0,0,-1.08695655223542,-1.12811088007521,-1.1302500677506,-1.10564920917061,-1.11274167730796,-0.934077547247848,-0.967724369004566,-0.89626510007028,-0.932689005440898,36
0,1,1,1,0,0,1,1,3,"Toni Morrison","Ray Bradbury","Herman Melville","Gabriel Garcia Marquez","Agatha Christie","WEB Du Bois","Charles Dickens","White / Caucasian","Woman",42,0,1,"1Extremely liberal",1,-3,"Democrat",1,0,0,-0.55838665775685,0.368362736351089,0.833213301615697,0.361028313198567,0.251054423352126,-0.368409467392785,0.717152880601598,-0.303818677989925,0.0149749117396293,36
1,0,1,1,0,1,0,1,3,"Joyce Carol Oates","Alice Walker","Toni Morrison","Isabel Allende","John Steinbeck","George Orwell","Agatha Christie","White / Caucasian","Woman",80,0,1,"2Liberal",2,-2,"Democrat",1,0,0,-1.08695655223542,-1.12811088007521,-1.1302500677506,-1.10564920917061,-1.11274167730796,-0.934077547247848,-0.967724369004566,-0.89626510007028,-0.932689005440898,36
1,1,1,0,0,0,0,0,2,"John Steinbeck","Alice Walker","Emily Bronte","Toni Morrison","Ernest Hemingway","George Orwell","Michael Crichton","White / Caucasian","Woman",34,0,1,"6Conservative",6,2,"Republican",0,0,1,1.55589292015744,1.36601181396862,0.833213301615697,1.33881332811135,1.27348284096328,1.3285947721724,1.84040438033904,2.06596701033149,1.74498872094765,36
0,1,1,1,0,1,1,1,0,"F. Scott Fitzgerald","Jane Austen","Louisa May Alcott","Charles Dickens","Nathaniel Hawthorne","J.D. Salinger","Lucy Maud","White / Caucasian","Woman",41,0,1,"4Moderate; middle of the road",4,0,"Independent",0,1,0,-1.08695655223542,-1.12811088007521,-1.1302500677506,-1.10564920917061,-1.11274167730796,-0.934077547247848,-0.967724369004566,-0.89626510007028,-0.932689005440898,36
0,1,1,1,0,0,0,1,2,"J.R.R. Tolkien","Agatha Christie","Isabel Allende","Michael Crichton","Ray Bradbury","Alice Walker","Jack London","Black or African American","Man",37,1,0,"2Liberal",2,-2,"Democrat",1,0,0,-0.55838665775685,-0.629286341266444,-0.639384225409024,-0.616756701714219,-0.610953481536634,-0.368409467392785,-0.406098619135845,-0.303818677989925,-0.359442254839518,36
1,1,1,0,1,1,0,0,1,"Jack London","Ray Bradbury","J.R.R. Tolkien","Michael Crichton","F. Scott Fitzgerald","Gabriel Garcia Marquez","Toni Morrison","White / Caucasian","Man",21,1,1,"6Conservative",6,2,"Republican",0,0,1,-0.0298167632782783,1.86483635277739,1.32407914395727,1.33881332811135,1.12447801539193,1.3285947721724,1.84040438033904,2.06596701033149,1.74498872094765,36
0,1,1,1,0,0,1,1,0,"Michael Crichton","J.R.R. Tolkien","Agatha Christie","George Orwell","John Steinbeck","Jane Austen","Charles Dickens","White / Caucasian","Man",71,1,1,"5Slightly conservative",5,1,"Independent",0,1,0,-0.55838665775685,-0.130461802457677,-0.14851838306745,-0.127864194257826,-0.241307759384951,-0.368409467392785,-0.406098619135845,-0.303818677989925,-0.359442254839518,36
1,1,0,1,0,0,0,1,1,"Lucy Maud","Sandra Cisneros","John Steinbeck","George Orwell","J.R.R. Tolkien","Agatha Christie","Ernest Hemingway","Asian / Pacific Islander","Man",25,1,0,"2Liberal",2,-2,"Democrat",1,0,0,-1.08695655223542,-1.12811088007521,-1.1302500677506,-1.10564920917061,-1.11274167730796,-0.934077547247848,-0.967724369004566,-0.89626510007028,-0.932689005440898,36
1,1,1,0,0,0,1,1,0,"F. Scott Fitzgerald","John Steinbeck","Ray Bradbury","Ernest Hemingway","George Orwell","Charles Dickens","J.D. Salinger","Hispanic / Latinx","Man",31,1,0,"5Slightly conservative",5,1,"Independent",0,1,0,-0.55838665775685,-0.629286341266444,-0.639384225409024,-0.616756701714219,-0.610953481536634,-0.934077547247848,-0.967724369004566,-0.89626510007028,-0.932689005440898,36
0,1,1,1,1,1,0,1,3,"Ray Bradbury","Agatha Christie","Toni Morrison","Gabriel Garcia Marquez","George Orwell","Alice Walker","WEB Du Bois","Black or African American","Woman",38,0,0,"1Extremely liberal",1,-3,"Independent",0,1,0,0.498753131200294,1.86483635277739,1.81494498629884,1.33881332811135,1.37933694959697,-0.368409467392785,1.27877863047032,-0.303818677989925,0.202183495029203,36
0,1,1,1,0,1,1,1,2,"Toni Morrison","George Orwell","Ray Bradbury","Isabel Allende","John Steinbeck","Jack London","J.R.R. Tolkien","White / Caucasian","Man",54,1,1,"4Moderate; middle of the road",4,0,"Republican",0,0,1,0.498753131200294,0.368362736351089,0.342347459274123,0.361028313198567,0.392622910006018,0.762926692317342,0.717152880601598,0.881074166170784,0.787051246363241,36
0,1,1,1,1,1,0,0,0,"Ray Bradbury","J.R.R. Tolkien","Agatha Christie","George Orwell","Jack London","Louisa May Alcott","Toni Morrison","White / Caucasian","Woman",32,0,1,"4Moderate; middle of the road",4,0,"Independent",0,1,0,-0.55838665775685,-0.629286341266444,-0.639384225409024,-1.10564920917061,-0.733176608400733,-0.368409467392785,-0.406098619135845,-0.89626510007028,-0.55692439553297,36
1,1,1,0,0,0,0,1,1,"J.R.R. Tolkien","Toni Morrison","Ernest Hemingway","John Steinbeck","George Orwell","Charles Dickens","Jane Austen","White / Caucasian","Man",34,1,1,"2Liberal",2,-2,"Democrat",1,0,0,0.498753131200294,-0.130461802457677,0.342347459274123,0.361028313198567,0.267916775303827,-0.934077547247848,1.27877863047032,-0.89626510007028,-0.183854672282603,36
