"female_pick","tech_pick","founder_pick","gender_feedback","founder_comp","tech_comp","male_pool","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","gender_code","race_code","num_excluded_total"
1,0,0,1,0.423076923076923,0.461538461538462,0,1,0,0,1,1,1,"Michelle Buck (CEO of The Hershey Company)","White / Caucasian","Man",32,1,1,126
1,0,0,0,0.346153846153846,0.461538461538462,0,1,0,0,1,1,0,"Carol Tome (CEO of UPS)","White / Caucasian","Man",27,1,1,126
1,0,0,1,0.384615384615385,0.423076923076923,0,1,0,0,1,1,1,"Michelle Buck (CEO of The Hershey Company)","White / Caucasian","Woman",50,0,1,126
1,0,1,0,0.423076923076923,0.461538461538462,0,0,0,0,1,0,0,"Tory Burch (Founder of Tory Burch)","White / Caucasian","Man",27,1,1,126
1,1,0,0,0.423076923076923,0.384615384615385,0,1,1,0,1,1,0,"Kathy Warden (CEO of Northrupp Grumman)","White / Caucasian","Man",55,1,1,126
0,0,0,1,0.346153846153846,0.346153846153846,0,1,1,1,0,0,0,"Charles Koch (CEO of Koch Industries)","White / Caucasian","Man",43,1,1,126
0,0,0,0,0.461538461538462,0.461538461538462,1,0,0,0,0,1,1,"James Dimon (CEO of JP Morgan)","White / Caucasian","Man",46,1,1,126
0,0,0,1,0.346153846153846,0.423076923076923,0,1,0,0,1,1,1,"James Dimon (CEO of JP Morgan)","Asian / Pacific Islander","Man",37,1,0,126
0,0,1,1,0.5,0.461538461538462,1,1,0,0,1,0,0,"Daymond John (Founder of FUBU)","White / Caucasian","Man",34,1,1,126
0,0,1,0,0.346153846153846,0.346153846153846,0,0,0,1,0,1,1,"Sean Combs (Founder of Bad Boy Entertainment)","White / Caucasian","Man",55,1,1,126
0,1,1,0,0.384615384615385,0.461538461538462,0,0,0,0,1,1,1,"Larry Page (Co-founder of Google)","White / Caucasian","Woman",39,0,1,126
0,1,0,1,0.423076923076923,0.5,1,0,0,0,0,0,0,"Sundar Pichai (CEO of Alphabet Inc.)","White / Caucasian","Man",47,1,1,126
0,0,0,0,0.5,0.461538461538462,1,0,0,0,0,1,0,"Warren Buffet (CEO of Berkshire Hathaway)","Asian / Pacific Islander","Man",38,1,0,126
0,1,1,0,0.461538461538462,0.5,1,1,0,1,0,1,0,"Garrett Camp (Co-founder of Uber)","White / Caucasian","Woman",43,0,1,126
0,1,1,0,0.538461538461538,0.5,1,0,0,0,0,0,0,"Bill Gates (Co-founder of Microsoft)","Asian / Pacific Islander","Man",39,1,0,126
0,0,1,0,0.423076923076923,0.5,1,0,0,1,1,0,0,"Daymond John (Founder of FUBU)","White / Caucasian","Man",49,1,1,126
1,0,1,0,0.384615384615385,0.384615384615385,0,1,0,0,0,0,0,"Julia Hartz (Founder of EventBrite)","Hispanic / Latinx","Man",36,1,0,126
0,1,0,0,0.384615384615385,0.384615384615385,0,0,0,0,1,1,0,"Jeff Weiner (CEO of LinkedIn)","White / Caucasian","Man",45,1,1,126
0,0,1,1,0.423076923076923,0.423076923076923,1,1,1,1,0,0,0,"Daymond John (Founder of FUBU)","White / Caucasian","Woman",35,0,1,126
0,0,0,1,0.423076923076923,0.423076923076923,1,0,1,0,1,1,0,"James Dimon (CEO of JP Morgan)","White / Caucasian","Woman",52,0,1,126
1,0,0,1,0.384615384615385,0.461538461538462,0,0,1,0,0,0,1,"Rosalind Brewer (CEO of Walgreens)","Hispanic / Latinx","Man",32,1,0,126
1,0,0,0,0.346153846153846,0.384615384615385,0,0,1,0,1,1,0,"Carol Tome (CEO of UPS)","White / Caucasian","Man",26,1,1,126
0,1,1,1,0.5,0.538461538461538,1,0,0,0,0,0,0,"Mark Zuckerberg (Co-founder of Facebook)","White / Caucasian","Man",41,1,1,126
0,0,0,0,0.5,0.538461538461538,1,0,0,0,0,0,1,"James Gorman (CEO of Morgan Stanley)","Black or African American","Man",44,1,0,126
1,0,0,1,0.384615384615385,0.461538461538462,0,1,0,0,0,0,0,"Tricia Griffith (CEO of Progressive)","White / Caucasian","Man",59,1,1,126
0,1,1,1,0.346153846153846,0.423076923076923,0,0,1,0,1,1,1,"Larry Page (Co-founder of Google)","White / Caucasian","Man",56,1,1,126
1,0,1,1,0.346153846153846,0.461538461538462,0,0,1,0,0,0,1,"Julia Hartz (Founder of EventBrite)","White / Caucasian","Man",41,1,1,126
1,1,1,1,0.461538461538462,0.576923076923077,1,1,0,0,1,0,0,"Leah Busque (Founder of TaskRabbit)","White / Caucasian","Man",46,1,1,126
0,1,0,0,0.461538461538462,0.5,1,0,1,0,0,0,0,"Stewart Butterfield (CEO of Slack)","White / Caucasian","Woman",24,0,1,126
0,1,1,1,0.461538461538462,0.423076923076923,1,0,0,0,1,0,0,"Larry Page (Co-founder of Google)","White / Caucasian","Woman",33,0,1,126
0,1,1,0,0.538461538461538,0.5,1,0,0,0,1,0,0,"Sergey Brin (Co-founder of Google)","White / Caucasian","Man",46,1,1,126
0,1,0,0,0.5,0.576923076923077,1,0,0,0,1,1,1,"Tim Cook (CEO of Apple)","White / Caucasian","Man",62,1,1,126
1,1,0,0,0.384615384615385,0.423076923076923,0,0,1,0,1,0,0,"Kathy Warden (CEO of Northrupp Grumman)","White / Caucasian","Man",37,1,1,126
1,0,0,1,0.384615384615385,0.346153846153846,0,1,0,0,1,1,1,"Tricia Griffith (CEO of Progressive)","White / Caucasian","Woman",58,0,1,126
1,1,1,1,0.423076923076923,0.461538461538462,0,1,1,1,0,0,0,"Whitney Wolfe Herd (Founder of Bumble)","White / Caucasian","Woman",37,0,1,126
0,1,0,0,0.307692307692308,0.346153846153846,0,1,0,0,1,1,1,"Jeff Weiner (CEO of LinkedIn)","White / Caucasian","Woman",32,0,1,126
0,1,1,1,0.5,0.461538461538462,1,0,0,0,0,0,0,"Jeff Bezos (Founder of Amazon)","Asian / Pacific Islander","Man",34,1,0,126
1,1,1,0,0.346153846153846,0.461538461538462,0,0,1,1,1,0,1,"Leah Busque (Founder of TaskRabbit)","White / Caucasian","Man",27,1,1,126
1,0,0,1,0.461538461538462,0.461538461538462,1,0,0,0,0,0,0,"Rosalind Brewer (CEO of Walgreens)","White / Caucasian","Man",54,1,1,126
0,0,0,0,0.346153846153846,0.346153846153846,0,1,0,1,1,0,1,"Charles Koch (CEO of Koch Industries)","White / Caucasian","Man",52,1,1,126
0,1,1,0,0.423076923076923,0.5,1,1,0,0,0,1,0,"Bill Gates (Co-founder of Microsoft)","White / Caucasian","Woman",43,0,1,126
1,0,0,0,0.346153846153846,0.346153846153846,0,1,0,1,0,0,1,"Jane Fraser (CEO of Citigroup)","Asian / Pacific Islander","Man",32,1,0,126
0,0,1,0,0.5,0.5,1,0,0,0,0,0,0,"Phil Knight (Co-founder of Nike)","White / Caucasian","Man",32,1,1,126
0,0,0,1,0.423076923076923,0.5,1,0,0,0,0,0,0,"Warren Buffet (CEO of Berkshire Hathaway)","White / Caucasian","Man",58,1,1,126
1,0,0,1,0.461538461538462,0.384615384615385,1,0,1,1,0,0,0,"Delphine Arnault (CEO of Christian Dior)","White / Caucasian","Man",57,1,1,126
1,0,0,0,0.346153846153846,0.384615384615385,0,0,1,0,1,1,0,"Carol Tome (CEO of UPS)","White / Caucasian","Woman",58,0,1,126
1,1,0,0,0.576923076923077,0.5,1,0,0,0,0,0,1,"Kathy Warden (CEO of Northrupp Grumman)","White / Caucasian","Man",64,1,1,126
0,1,0,1,0.461538461538462,0.461538461538462,1,0,0,0,0,1,0,"Tim Cook (CEO of Apple)","White / Caucasian","Woman",24,0,1,126
1,0,1,1,0.384615384615385,0.423076923076923,0,0,1,0,1,1,1,"Arianna Huffington (Co-founder of Huffington Post)","White / Caucasian","Woman",55,0,1,126
1,0,0,1,0.423076923076923,0.423076923076923,1,0,1,0,0,0,1,"Jane Fraser (CEO of Citigroup)","White / Caucasian","Woman",44,0,1,126
0,0,0,0,0.384615384615385,0.423076923076923,0,0,0,0,0,1,0,"James Gorman (CEO of Morgan Stanley)","White / Caucasian","Man",40,1,1,126
1,0,1,1,0.346153846153846,0.423076923076923,0,0,0,1,1,1,0,"Julia Hartz (Founder of EventBrite)","White / Caucasian","Woman",62,0,1,126
1,0,0,1,0.307692307692308,0.423076923076923,0,0,1,1,1,0,0,"Michelle Buck (CEO of The Hershey Company)","White / Caucasian","Man",32,1,1,126
0,1,1,0,0.461538461538462,0.461538461538462,1,0,0,0,0,1,0,"Sergey Brin (Co-founder of Google)","White / Caucasian","Man",36,1,1,126
1,0,0,0,0.423076923076923,0.5,1,1,0,1,0,1,0,"Mary Barra (CEO of General Motors)","White / Caucasian","Woman",36,0,1,126
0,1,1,1,0.423076923076923,0.423076923076923,1,0,1,0,0,0,1,"Bill Gates (Co-founder of Microsoft)","White / Caucasian","Man",68,1,1,126
1,0,1,0,0.5,0.461538461538462,1,0,0,0,0,0,0,"Arianna Huffington (Co-founder of Huffington Post)","White / Caucasian","Man",57,1,1,126
0,1,0,0,0.384615384615385,0.384615384615385,0,1,1,1,1,0,1,"Stewart Butterfield (CEO of Slack)","White / Caucasian","Woman",32,0,1,126
