"treatment","women_pool","cond","pool","female_pick","base_gender","tech_pick","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","num_excluded_total"
1,0,"treat","men",0,3,0,"Lloyd Blankfein (Former CEO of Goldman Sachs)","Lisa Su (CEO of AMD)","Howard Schultz (Founder of Starbucks)","Jane Fraser (CEO of Citigroup)","Mary Barra (CEO of General Motors)","Richard Branson (Founder of Virgin Group)","Warren Buffett (CEO of Berkshire Hathaway)","Hispanic / Latinx","Man",44,52
1,0,"treat","men",0,3,0,"Whitney Wolfe Herd (Founder of Bumble)","Jensen Huang (CEO of NVIDIA)","Lisa Su (CEO of AMD)","Tim Cook (CEO of Apple)","Phil Knight (Co-founder of Nike)","Mary Barra (CEO of General Motors)","Bill Gates (Co-founder of Microsoft)","White / Caucasian","Man",42,52
0,1,"control","women",1,3,0,"Jessica Alba (Founder of The Honest Company)","Larry Page (Co-founder of Google)","Tim Cook (CEO of Apple)","Warren Buffett (CEO of Berkshire Hathaway)","Carol Tomé (CEO of UPS)","Melanie Perkins (Founder of Canva)","Kate Johnson (CEO of Lumen Technologies)","White / Caucasian","Woman",46,52
0,0,"control","men",0,3,0,"Mary Barra (CEO of General Motors)","Lisa Su (CEO of AMD)","Daymond John (Founder of FUBU)","Satya Nadella (CEO of Microsoft)","Phil Knight (Co-founder of Nike)","Kendra Scott (Founder of Kendra Scott)","Warren Buffett (CEO of Berkshire Hathaway)","White / Caucasian","Man",40,52
1,1,"treat","women",0,4,0,"Sara Blakely (Founder of Spanx)","Jessica Alba (Founder of The Honest Company)","Warren Buffett (CEO of Berkshire Hathaway)","Oprah Winfrey (Founder of OWN)","Daymond John (Founder of FUBU)","Melanie Perkins (Founder of Canva)","Tim Cook (CEO of Apple)","Black or African American","Woman",46,52
0,0,"control","men",0,2,0,"Tim Cook (CEO of Apple)","Mary Barra (CEO of General Motors)","Jane Fraser (CEO of Citigroup)","Jeff Bezos (Founder of Amazon)","Warren Buffett (CEO of Berkshire Hathaway)","Richard Branson (Founder of Virgin Group)","Michael Bloomberg (Co-founder of Bloomberg LP)","Asian / Pacific Islander","Man",45,52
1,0,"treat","men",0,3,0,"Warren Buffett (CEO of Berkshire Hathaway)","Mary Barra (CEO of General Motors)","Kendra Scott (Founder of Kendra Scott)","Jane Fraser (CEO of Citigroup)","Phil Knight (Co-founder of Nike)","Bill Gates (Co-founder of Microsoft)","Sundar Pichai (CEO of Alphabet Inc.)","White / Caucasian","Woman",39,52
1,1,"treat","women",0,4,0,"Jessica Alba (Founder of The Honest Company)","Linda Yaccarino (CEO of X)","Warren Buffett (CEO of Berkshire Hathaway)","Sara Blakely (Founder of Spanx)","Daymond John (Founder of FUBU)","Carol Tomé (CEO of UPS)","Sundar Pichai (CEO of Alphabet Inc.)","White / Caucasian","Man",46,52
0,1,"control","women",0,3,0,"Larry Page (Co-founder of Google)","Linda Yaccarino (CEO of X)","Tim Cook (CEO of Apple)","Sundar Pichai (CEO of Alphabet Inc.)","Carol Tomé (CEO of UPS)","Melanie Perkins (Founder of Canva)","Phil Knight (Co-founder of Nike)","White / Caucasian","Man",27,52
1,0,"treat","men",0,1,0,"Andy Jassy (CEO of Amazon)","Larry Page (Co-founder of Google)","Tim Cook (CEO of Apple)","Satya Nadella (CEO of Microsoft)","Mary Barra (CEO of General Motors)","Jamie Dimon (CEO of JPMorgan Chase)","Richard Branson (Founder of Virgin Group)","White / Caucasian","Woman",39,52
