"PROLIFIC_PID","cond","pool","female_pick","choice.7","goals","category"
"6106fbbcd52909fe5cc2fc8e","treat","women",1,"Anne Wojcicki (CEO of 23andMe)","It was to consider the success of the business that the person represented.","Other/Unclear"
"662d1deec818eb32592e2860","treat","women",1,"Carol Tomé (CEO of UPS)","Selecting a different industry","Other/Unclear"
"668b0f81f1eaae48f75e216b","treat","women",1,"Melanie Perkins (Founder of Canva)","I chose to go more towards the company aspect and what the company insight could offer verses the gender of the panelist.","Other/Unclear"
"5f2c8e920322221840ac522f","treat","women",1,"Sara Blakely (Founder of Spanx)","I’m picking leaders from company’s that are successful.","Other/Unclear"
"5f879df674a3c81e20a40cd6","treat","women",0,"Warren Buffett (CEO of Berkshire Hathaway)","My goal was to add industry diversity and expertise in finance while keeping the panel balanced between men and women.","Bucket 1: Balancing (selected man)"
"5c3b70640eaa0100018ea877","treat","women",1,"Corie Barry (CEO of Best Buy)","Picking a speaker who wouldn't put me to sleep with their overwrought drivel...like every other speaker on that list.  Capiche?","Other/Unclear"
"67f72474746fa86c43e2829b","treat","women",1,"Karen Lynch (CEO of CVS Health)","To add a richness of already richful minds of the panelists, and perhaps a bit of leaning towards selecting a women in that role.","Other/Unclear"
"6717ad4cd05ccb5a351c73a0","treat","women",0,"Phil Knight (Co-founder of Nike)","Picking a leader from a strong and reputable brand/company.","Other/Unclear"
"636d6ce3fb3683ff33f9e514","treat","women",1,"Mary Barra (CEO of General Motors)","I just tried to pick the biggest names to attract people to the event.  My seventh pick is a well known name.","Other/Unclear"
"662940d70f2f630ed69ceb40","treat","women",0,"Larry Page (Co-founder of Google)","I wanted to add another founder and someone who will have knowledge of the business landscape.","Other/Unclear"
"62bdb13c265eb824d83f147d","treat","women",1,"Rosalind Brewer (CEO of Walgreens)","I had no goal. I just went with reputable companies that I had some knowledge on.","Other/Unclear"
"5ea48ae3461d1044f2d282cc","treat","women",1,"Karen Lynch (CEO of CVS Health)","I wanted a quality pick, a woman.","Other/Unclear"
"660df7e191cd165726f20b11","treat","women",1,"Arianna Huffington (Co-founder of Huffington Post)","I chose companies I have heard of. I was more interested in founders than in CEOs because I find the formation of a company more interesting than the day to day operations. The seventh panelist was a founder of a company I have heard of. It just so happened that the panelist was a female.","Bucket 2: Doubling down (selected woman)"
"6630fe529aafd2ed163cfd25","treat","women",0,"Warren Buffett (CEO of Berkshire Hathaway)","Since I already had an equal number of men and women, I decided to go with the biggest name to add to the panel. Warren Buffet being well known for his mind in business would be a big draw for people wanting to attend the event.","Bucket 1: Balancing (selected man)"
"569cffa09e8363000c3087cd","treat","women",0,"Larry Page (Co-founder of Google)","balancing out the sex imbalance","Bucket 1: Balancing (selected man)"
"5cb929bfebd17d0017e7f848","treat","women",1,"Carol Tomé (CEO of UPS)","To chose a female so the panel at least has a woman as a panelist and was a CEO of a top company that could bring some interesting discussions.","Bucket 2: Doubling down (selected woman)"
"66b20ecbbd7e413405d06067","treat","women",1,"Melanie Perkins (Founder of Canva)","Companies I thought were somewhat trustworthy","Other/Unclear"
"66784455fea471ef6a359827","treat","women",0,"Phil Knight (Co-founder of Nike)","I picked someone that was high-up in a brand I was interested in","Other/Unclear"
"65e3d52e5393504e7132920b","treat","women",1,"Jane Fraser (CEO of Citigroup)","Picking the next best person that I thought would be an asset.","Other/Unclear"
"5c560b6fccb08c0001e134a8","treat","women",1,"Oprah Winfrey (Founder of OWN)","I wanted someone that had a different background/industry.","Other/Unclear"
"5eaf1a2c649fd108284c2b5f","treat","women",1,"Leah Busque (Founder of TaskRabbit)","To select someone very knowledgeable, in a trending industry, who was female","Other/Unclear"
"663fdc16c6f36091d835d282","treat","women",1,"Sara Blakely (Founder of Spanx)","I wanted someone that was forward thinking and a rising company.","Other/Unclear"
"65de8bb036d20b18c5637a14","treat","women",0,"Phil Knight (Co-founder of Nike)","I choose the panelist that was most appealing to me.","Other/Unclear"
"5a0a02fba383a100011b4b5e","treat","women",0,"Phil Knight (Co-founder of Nike)","Finding a man in an industry that wasn't tech and hopefully not a founder, all to balance out the panel. I don't think I achieved the founder aspect but at least met the other two objectives.","Bucket 1: Balancing (selected man)"
"66293f7d355cb2780b2b2ab1","treat","women",0,"Phil Knight (Co-founder of Nike)","I thought about who had a more global impact.","Other/Unclear"
"59528796a186be000114dc32","treat","women",0,"Phil Knight (Co-founder of Nike)","I picked the panelist I was most interested in.","Other/Unclear"
"6503119f7522c9e4baeb3eca","treat","women",0,"Larry Page (Co-founder of Google)","I was trying to pick CEO's of companies that were large and had a product that was technology-based or advanced.","Other/Unclear"
"631a9323e9b09851ec6754ea","treat","women",0,"Warren Buffett (CEO of Berkshire Hathaway)","My goal was to select, who I thought, were the more successful options.","Other/Unclear"
"66cf67c748d4e58e76111414","treat","women",1,"Melanie Perkins (Founder of Canva)","to have a mostly female panel","Bucket 2: Doubling down (selected woman)"
"5ef05841b681b05763588ff9","treat","women",1,"Leah Busque (Founder of TaskRabbit)","My goal was to pick someone who represented an industry that was not included in the other 6 previous speakers.","Other/Unclear"
"66c65debb697685dae0f8abf","treat","women",1,"Mary Barra (CEO of General Motors)","Someone I would want to work for","Other/Unclear"
"639611cf1d89fe7abe73b6f9","treat","women",1,"Safra Katz (CEO of Oracle)","If I knew who they were. Not at all gender representative.","Bucket 3: Reactive (gender didn't matter)"
"63d420b1d5b7dc6a3a4c50aa","treat","women",1,"Anne Wojcicki (CEO of 23andMe)","I went by the companies I knew, not whether they were men or women.","Bucket 3: Reactive (gender didn't matter)"
"611722f2f782899ff22ed1ed","treat","women",0,"Larry Page (Co-founder of Google)","I wanted to select him as part of the original 6, but prefered 6 other panelists.","Other/Unclear"
"679007d689cfa2445155da14","treat","women",1,"Jane Fraser (CEO of Citigroup)","To get a good CEO","Other/Unclear"
"663182df42b6a8cefab7857d","treat","women",1,"Whitney Wolfe Herd (Founder of Bumble)","I wanted more women","Bucket 2: Doubling down (selected woman)"
"6103328867f2eefa3edddf4f","treat","women",1,"Karen Lynch (CEO of CVS Health)","No goals in particular, I wanted my panels to be all women to gain knowledge from their point of view","Bucket 2: Doubling down (selected woman)"
"58f7cdd4c31d4d00015aac83","treat","women",0,"Sundar Pichai (CEO of Alphabet Inc.)","For me it was trying to ballence out my selection honestly my main picks were people ik of or their companies and being like okay these are the good ones and the last one i wanted a ceo and just picked the google parrent company ceo","Other/Unclear"
"6791934cb3e39094ae05692b","treat","women",0,"Tim Cook (CEO of Apple)","I based my selection entirely on who I would be interested in seeing. In fighting so hard to force everyone into equality, all you have achieved is being sexist yourself in this study. Stop being sexist -- seeing sex and using it to base your actions/ideas... that's not right. So tired of the feigned outrage over sex and equality. I am a woman and I'm over it. I didn't select any of these people with any mind to diversity, and neither should you.","Bucket 1: Balancing (selected man)"
"66d719a522a3689e93fd0351","treat","women",0,"Phil Knight (Co-founder of Nike)","To choose another worthy panelist who would add to the conversation","Other/Unclear"
"662a6980834b6aae413994c6","treat","women",1,"Leah Busque (Founder of TaskRabbit)","Choosing a company that seemed to have vision and a different industry then the others.","Other/Unclear"
