"treatment","men_pool","cond","pool","female_pick","base_gender","tech_pick","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","fair1_num","fair2_num","fair3_num","fairness","I1_num","I2_num","I3_num","I4_num","internal_motivation","E1_num","E2_num","E3_num","external_motivation","num_excluded_total"
1,0,"treat","women",1,5,0,"Jane Fraser (CEO of Citigroup)","Jessica Alba (Founder of The Honest Company)","Leah Busque (Founder of TaskRabbit)","Larry Page (Co-founder of Google)","Kendra Scott (Founder of Kendra Scott)","Kate Johnson (CEO of Lumen Technologies)","Christine Leahy (CEO of CDW)","American Indian or Alaskan Native","Woman",22,4,4,4,4,4,4,4,4,4,4,4,4,4,68
1,1,"treat","men",0,1,0,"Bill Gates (Co-founder of Microsoft)","Mark Zuckerberg (Co-founder of Facebook)","Jeff Bezos (Founder of Amazon)","Kendra Scott (Founder of Kendra Scott)","Warren Buffett (CEO of Berkshire Hathaway)","Tim Cook (CEO of Apple)","Larry Page (Co-founder of Google)","White / Caucasian","Woman",25,2,1,2,1.66666666666667,7,1,1,1,2.5,2,1,6,3,68
1,1,"treat","men",1,2,0,"Bill Gates (Co-founder of Microsoft)","Jensen Huang (CEO of NVIDIA)","Lisa Su (CEO of AMD)","Sundar Pichai (CEO of Alphabet Inc.)","Leah Busque (Founder of TaskRabbit)","Daymond John (Founder of FUBU)","Whitney Wolfe Herd (Founder of Bumble)","White / Caucasian","Man",34,4,4,4,4,2,6,7,6,5.25,2,5,2,3,68
0,1,"control","men",0,0,0,"Bill Gates (Co-founder of Microsoft)","Daymond John (Founder of FUBU)","Jeff Bezos (Founder of Amazon)","Jensen Huang (CEO of NVIDIA)","Warren Buffett (CEO of Berkshire Hathaway)","Tim Cook (CEO of Apple)","Mark Zuckerberg (Co-founder of Facebook)","White / Caucasian","Man",33,2,2,2,2,2,3,5,2,3,2,2,5,3,68
0,0,"control","women",0,3,0,"Arianna Huffington (Founder of Thrive Global)","Larry Page (Co-founder of Google)","Oprah Winfrey (Founder of OWN)","Tim Cook (CEO of Apple)","Warren Buffett (CEO of Berkshire Hathaway)","Leah Busque (Founder of TaskRabbit)","Phil Knight (Co-founder of Nike)","White / Caucasian","Woman",37,2,2,2,2,2,3,5,5,3.75,2,2,2,2,68
1,1,"treat","men",1,0,0,"Tim Cook (CEO of Apple)","Andy Jassy (CEO of Amazon)","Bill Gates (Co-founder of Microsoft)","Mark Zuckerberg (Co-founder of Facebook)","Jeff Bezos (Founder of Amazon)","Larry Page (Co-founder of Google)","Whitney Wolfe Herd (Founder of Bumble)","Asian / Pacific Islander","Man",22,2,2,2,2,3,2,3,2,2.5,2,2,2,2,68
0,0,"control","women",0,5,0,"Larry Page (Co-founder of Google)","Lisa Su (CEO of AMD)","Melanie Perkins (Founder of Canva)","Michele Buck (CEO of Hershey)","Sara Blakely (Founder of Spanx)","Whitney Wolfe Herd (Founder of Bumble)","Warren Buffett (CEO of Berkshire Hathaway)","White / Caucasian","Man",38,2,2,2,2,2,2,2,2,2,2,2,2,2,68
0,1,"control","men",1,0,0,"Warren Buffett (CEO of Berkshire Hathaway)","Larry Page (Co-founder of Google)","Jeff Bezos (Founder of Amazon)","Jamie Dimon (CEO of JPMorgan Chase)","Phil Knight (Co-founder of Nike)","Satya Nadella (CEO of Microsoft)","Mary Barra (CEO of General Motors)","White / Caucasian","Man",44,5,5,5,5,4,4,4,4,4,5,5,5,5,68
1,0,"treat","women",1,3,0,"Tim Cook (CEO of Apple)","Warren Buffett (CEO of Berkshire Hathaway)","Gail Boudreaux (CEO of Elevance Health)","Larry Page (Co-founder of Google)","Mary Barra (CEO of General Motors)","Lisa Su (CEO of AMD)","Melanie Perkins (Founder of Canva)","Asian / Pacific Islander","Woman",38,5,2,2,3,4,2,2,2,2.5,4,2,2,2.66666666666667,68
1,0,"treat","women",1,3,0,"Sundar Pichai (CEO of Alphabet Inc.)","Tim Cook (CEO of Apple)","Whitney Wolfe Herd (Founder of Bumble)","Lisa Su (CEO of AMD)","Warren Buffett (CEO of Berkshire Hathaway)","Jane Fraser (CEO of Citigroup)","Leah Busque (Founder of TaskRabbit)","White / Caucasian","Man",39,2,3,2,2.33333333333333,6,4,2,2,3.5,3,2,2,2.33333333333333,68
0,1,"control","men",1,0,0,"Howard Schultz (Founder of Starbucks)","Tim Cook (CEO of Apple)","Phil Knight (Co-founder of Nike)","Andy Jassy (CEO of Amazon)","Jeff Bezos (Founder of Amazon)","Bill Gates (Co-founder of Microsoft)","Jane Fraser (CEO of Citigroup)","White / Caucasian","Woman",37,1,1,1,1,1,1,1,1,1,1,1,1,1,68
0,0,"control","women",1,5,0,"Carol Tomé (CEO of UPS)","Linda Yaccarino (CEO of X)","Lisa Su (CEO of AMD)","Michele Buck (CEO of Hershey)","Tim Cook (CEO of Apple)","Sara Blakely (Founder of Spanx)","Oprah Winfrey (Founder of OWN)","Asian / Pacific Islander","Man",24,1,1,1,1,1,1,1,1,1,1,1,1,1,68
1,0,"treat","women",1,3,0,"Mary Barra (CEO of General Motors)","Larry Page (Co-founder of Google)","Tim Cook (CEO of Apple)","Linda Yaccarino (CEO of X)","Jane Fraser (CEO of Citigroup)","Daymond John (Founder of FUBU)","Leah Busque (Founder of TaskRabbit)","White / Caucasian","Woman",43,1,3,2,2,3,1,2,3,2.25,2,3,5,3.33333333333333,68
0,1,"control","men",0,1,0,"Andy Jassy (CEO of Amazon)","Howard Schultz (Founder of Starbucks)","Mary Barra (CEO of General Motors)","Satya Nadella (CEO of Microsoft)","Tim Cook (CEO of Apple)","Jensen Huang (CEO of NVIDIA)","Phil Knight (Co-founder of Nike)","White / Caucasian","Woman",34,4,4,5,4.33333333333333,4,4,4,5,4.25,4,4,4,4,68
