"list_two","encouragement","gender_feedback","female","ceo","ceo_pick","founder","founder_pick","tech","tech_pick","base_gender","gender","race","age","gender_code","race_code","num_excluded_total"
1,1,0,0,0,0,1,1,1,0,0,"Man","White / Caucasian",55,1,1,265
NA,1,1,1,1,0,1,0,0,0,2,"Man","White / Caucasian",35,1,1,265
NA,1,1,1,1,1,0,0,1,0,1,"Man","White / Caucasian",27,1,1,265
1,1,0,0,1,1,1,0,0,0,0,"Man","White / Caucasian",44,1,1,265
NA,1,1,0,0,0,1,1,1,1,2,"Man","White / Caucasian",23,1,1,265
0,0,0,0,1,0,1,1,1,0,1,"Man","White / Caucasian",51,1,1,265
NA,0,1,0,1,0,1,1,0,1,3,"Woman","White / Caucasian",28,0,1,265
NA,1,1,1,0,1,1,0,1,0,2,"Woman","White / Caucasian",27,0,1,265
0,0,0,1,1,1,1,0,1,0,2,"Man","White / Caucasian",42,1,1,265
NA,0,1,1,1,0,1,0,0,0,0,"Man","Hispanic / Latinx",30,1,0,265
0,0,0,0,1,1,1,0,1,1,2,"Woman","White / Caucasian",29,0,1,265
NA,0,1,0,0,0,1,1,1,0,3,"Woman","White / Caucasian",36,0,1,265
1,0,0,0,1,0,0,1,1,0,2,"Woman","White / Caucasian",45,0,1,265
1,0,0,0,0,0,1,1,1,1,0,"Man","Asian / Pacific Islander",44,1,0,265
NA,0,1,1,1,1,0,0,1,0,0,"Woman","Asian / Pacific Islander",55,0,0,265
NA,1,1,0,1,1,1,0,0,0,2,"Woman","White / Caucasian",47,0,1,265
NA,0,1,0,0,0,1,1,1,1,2,"Woman","White / Caucasian",38,0,1,265
NA,0,1,1,1,1,1,0,0,0,1,"Woman","White / Caucasian",22,0,1,265
0,1,0,0,1,0,1,0,1,0,0,"Man","White / Caucasian",32,1,1,265
0,0,0,1,1,1,1,0,1,0,2,"Woman","White / Caucasian",49,0,1,265
NA,1,1,1,1,1,0,0,1,0,0,"Man","Hispanic / Latinx",26,1,0,265
1,1,0,0,0,0,1,1,1,0,1,"Woman","White / Caucasian",42,0,1,265
NA,1,1,1,1,1,1,0,0,0,0,"Woman","White / Caucasian",30,0,1,265
NA,1,1,1,0,1,1,0,1,0,1,"Woman","White / Caucasian",35,0,1,265
NA,1,1,1,1,0,1,0,0,0,3,"Man","White / Caucasian",36,1,1,265
1,1,0,0,0,0,1,1,1,1,0,"Woman","White / Caucasian",28,0,1,265
1,0,0,0,0,0,1,0,1,0,0,"Man","White / Caucasian",37,1,1,265
NA,1,1,1,0,0,1,0,1,0,0,"Man","White / Caucasian",44,1,1,265
NA,1,1,1,1,0,1,0,0,0,1,"Woman","White / Caucasian",49,0,1,265
0,0,0,1,1,0,1,0,1,0,1,"Man","White / Caucasian",35,1,1,265
NA,1,1,1,0,0,1,0,1,0,0,"Man","White / Caucasian",43,1,1,265
NA,1,1,0,1,0,1,0,0,0,1,"Woman","Black or African American",25,0,0,265
1,1,0,0,1,1,1,0,0,1,2,"Woman","Asian / Pacific Islander",45,0,0,265
NA,1,1,0,1,1,1,0,0,1,1,"Woman","White / Caucasian",43,0,1,265
0,0,0,0,1,0,1,1,1,1,2,"Woman","White / Caucasian",33,0,1,265
NA,0,1,1,1,1,1,0,0,0,0,"Man","White / Caucasian",68,1,1,265
1,1,0,0,1,0,1,1,0,0,2,"Man","White / Caucasian",36,1,1,265
1,1,0,0,0,1,1,0,1,1,1,"Woman","White / Caucasian",39,0,1,265
0,0,0,0,1,1,1,0,1,0,2,"Woman","White / Caucasian",70,0,1,265
1,0,0,0,0,0,1,1,1,1,1,"Man","White / Caucasian",39,1,1,265
NA,0,1,0,1,0,1,1,0,1,3,"Woman","White / Caucasian",40,0,1,265
0,1,0,0,1,1,1,0,1,1,0,"Man","White / Caucasian",31,1,1,265
1,1,0,0,0,0,1,1,1,0,3,"Man","White / Caucasian",37,1,1,265
NA,1,1,1,0,1,1,0,1,0,1,"Man","White / Caucasian",40,1,1,265
NA,0,1,0,1,0,1,1,0,1,2,"Woman","White / Caucasian",48,0,1,265
