"encouragement","gender_feedback","female","episodes_pick","episodes_shown","duration_shown","duration_pick","years_pick","years_shown","base_gender","gender","race","age","gender_code","race_code","num_excluded_total"
1,0,1,0,1,1,0,0,1,0,"Man","Hispanic / Latinx",30,1,0,99
0,0,1,0,1,1,0,0,1,0,"Man","White / Caucasian",38,1,1,99
1,1,1,0,1,1,0,0,0,3,"Woman","White / Caucasian",36,0,1,99
0,1,1,0,1,0,0,1,1,2,"Man","White / Caucasian",44,1,1,99
1,1,1,0,1,1,0,1,0,2,"Woman","White / Caucasian",34,0,1,99
1,0,0,0,1,1,0,1,1,0,"Man","White / Caucasian",35,1,1,99
0,1,0,1,1,1,0,0,0,1,"Woman","White / Caucasian",40,0,1,99
0,0,0,1,1,1,1,0,1,2,"Man","White / Caucasian",51,1,1,99
0,1,0,0,0,1,0,1,1,0,"Man","White / Caucasian",29,1,1,99
0,1,1,1,1,1,0,1,0,1,"Man","White / Caucasian",21,1,1,99
1,1,0,0,1,1,0,1,0,4,"Woman","White / Caucasian",38,0,1,99
0,0,1,0,1,1,0,1,1,1,"Man","White / Caucasian",41,1,1,99
1,0,1,1,1,1,0,1,1,0,"Man","White / Caucasian",41,1,1,99
0,1,0,0,1,1,0,1,0,1,"Man","White / Caucasian",36,1,1,99
0,1,0,0,1,1,0,1,0,0,"Woman","Black or African American",46,0,0,99
1,1,1,0,1,1,0,1,0,0,"Man","White / Caucasian",30,1,1,99
1,1,0,0,1,1,0,1,0,2,"Man","White / Caucasian",48,1,1,99
1,0,1,0,1,1,0,1,1,0,"Man","White / Caucasian",44,1,1,99
1,1,0,0,1,0,0,1,1,0,"Man","Asian / Pacific Islander",33,1,0,99
0,1,0,1,0,1,1,0,1,1,"Man","Asian / Pacific Islander",32,1,0,99
0,1,1,0,1,1,0,1,0,2,"Man","White / Caucasian",45,1,1,99
1,0,0,0,1,1,0,1,1,1,"Man","White / Caucasian",38,1,1,99
1,0,0,1,1,1,0,0,1,0,"Man","White / Caucasian",28,1,1,99
0,1,1,1,1,1,0,1,0,0,"Man","Hispanic / Latinx",39,1,0,99
0,0,1,1,1,1,0,1,1,2,"Woman","Black or African American",30,0,0,99
0,1,1,1,0,1,0,1,1,2,"Man","Asian / Pacific Islander",43,1,0,99
1,0,0,0,1,1,1,0,1,0,"Woman","White / Caucasian",39,0,1,99
