"workerId","attribute_clean","importance_clean","gender","num_excluded_total"
"A1Q6BCD26I084Z","wrote more than 10 books.",3,"Man",78
"A3GXEJ6VWRXBXW","published their first book before the age of 25.",2,"Man",78
"A35DS4T8H1MWYD","ever wrote fiction.",2,"Man",78
"A1GHRGMTWG85LX","wrote one of the 500 most commonly taught books in US colleges.",4,"Woman",78
"A2X81BPNQWSHR0","were women.",5,"Man",78
"AX5X0WANI5V7Y","ever wrote poetry.",1,"Man",78
"ATFD3WC87FITM","won a Pulitzer Prize, Nobel Prize or National Book Award.",7,"Woman",78
"A28CY58XWW8D5K","wrote at least one book that appears on the American Library Association's banned books list.",1,"Man",78
"A2HXAA4WF7IVYG","have been writing professionally for over 30 years.",6,"Woman",78
"A58L6J62P9QT","ever had their work included in a major literary anthology (e.g. Norton, Oxford).",3,"Woman",78
"A1T83SZBP2DN65","wrote primarily about war and civil unrest.",3,"Woman",78
"A199ECPSCLODO6","wrote at least one book that sold over 1 million copies.",5,"Woman",78
"A1HKYY6XI2OHO1","were born in the United States.",1,"Man",78
"A1WQACYPLESVGL","wrote at least one book that remained in continuous print for over 50 years.",4,"Man",78
"A2482SLAY120J2","wrote at least one book that appears on the American Library Association's banned books list.",6,"Man",78
"A3K9GGE08V218Q","published their first book in last 5 years.",4,"Man",78
"A34V7HUH38XVGT","died in the last century.",7,"Man",78
"A2ZB6ODYG1RKZ5","wrote an autobiography.",5,"Man",78
"A1OZPLHNIU1519","are still alive.",3,"Man",78
"A3V2K9AYP45DC4","had their work translated into at least 20 languages.",1,"Woman",78
"A1YMF916E6DM6Z","died in the last century.",1,"Man",78
"A1RQMCQ3LMIGEK","were born in the United States.",2,"Woman",78
"A1JZI9YO5DGXJC","wrote an autobiography.",1,"Man",78
"A2AA29XJTLZEDG","wrote  books, poems or essays spanning multiple genres.",4,"Man",78
"AP761OJXC1MAE","had their work translated into at least 20 languages.",3,"Man",78
"A2N5B07LYNLEUT","wrote at least one book that sold over 1 million copies.",4,"Woman",78
"AO5WJXJED5LQO","wrote primarily about war and civil unrest.",3,"Woman",78
"AQHQVVPC61JD9","were women.",1,"Woman",78
"A3M42ZQTKMCF5Y","wrote one of the 500 most commonly taught books in US colleges.",4,"Man",78
"A24WRYRST9NJK0","were born in the 1800s.",2,"Woman",78
"A35TUIBF05DKM4","were racial minorities.",5,"Man",78
"A2KWGCHV2FILJO","won a Pulitzer Prize, Nobel Prize or National Book Award.",3,"Woman",78
"A1SISJL5ST2PWH","wrote at least one book that remained in continuous print for over 50 years.",4,"Man",78
"A2ZPGKZOQGKE14","ever had their work adapted into a major motion picture.",6,"Man",78
"A3IFKW4672ZW8","ever had their work included in a major literary anthology (e.g. Norton, Oxford).",6,"Man",78
"A320QA9HJFUOZO","published their first book in last 5 years.",3,"Man",78
"AEF5B69YZZO6B","have been writing professionally for over 30 years.",1,"Man",78
"A2YQ9W77DO0EZ0","are still alive.",1,"Woman",78
"ATH29OP6EOTT1","published their first book before the age of 25.",5,"Woman",78
"A5P12YJP805RG","ever wrote poetry.",1,"Man",78
"A24B23HFT6O0PX","ever wrote fiction.",5,"Woman",78
"A30N7QXF4W4VCM","ever had their work included in a major literary anthology (e.g. Norton, Oxford).",3,"Man",78
"A3MYEUI6X43FAX","wrote more than 10 books.",4,"Woman",78
"A3862RIFFUV141","were racial minorities.",3,"Man",78
"A2J4FB7SRHRLXP","wrote primarily about war and civil unrest.",3,"Woman",78
"A1WSCND5HZZV5N","wrote at least one book that remained in continuous print for over 50 years.",3,"Woman",78
"A1USG1YHEXWMEN","published their first book before the age of 25.",4,"Woman",78
"A3760PCQD2MPIO","wrote an autobiography.",2,"Woman",78
"A3W1CKM4PBLRC0","won a Pulitzer Prize, Nobel Prize or National Book Award.",6,"Man",78
"A3S3Y7NJ8WTQG3","wrote more than 10 books.",5,"Man",78
"A9U8D7PZ2PBIE","are still alive.",4,"Woman",78
"A2L2WCKDVO1GDC","ever wrote poetry.",5,"Woman",78
"A3BWZ6V34W8SXX","wrote at least one book that sold over 1 million copies.",5,"Woman",78
"A11P1EW6AE2FOY","published their first book in last 5 years.",5,"Man",78
"A30O47PZ34T46M","died in the last century.",2,"Man",78
"ACBK30I7R42NI","were born in the United States.",7,"Woman",78
"A2L34JGLWPXSMC","wrote  books, poems or essays spanning multiple genres.",6,"Woman",78
"A1QXW6HGZCSSNV","wrote one of the 500 most commonly taught books in US colleges.",4,"Man",78
"A27O2FXGYRSG4B","ever wrote fiction.",5,"Woman",78
"A1SJC733RLU3H0","wrote one of the 500 most commonly taught books in US colleges.",7,"Man",78
"A2U8IBLKZ3K6AY","had their work translated into at least 20 languages.",1,"Man",78
"A2JMEQ3KQFQCRM","ever had their work adapted into a major motion picture.",1,"Woman",78
"A330JJZGJL7IG2","have been writing professionally for over 30 years.",1,"Woman",78
"A157FIPBJHPHNK","were born in the 1800s.",4,"Woman",78
"ALXV981UGOVMZ","were racial minorities.",3,"Man",78
"A8NT30VEC541H","were women.",5,"Woman",78
"A2572CYRIYT5JQ","wrote at least one book that appears on the American Library Association's banned books list.",1,"Man",78
"A1KFK92GEFQ9F5","were women.",5,"Man",78
"A2TZH1PO9PXJRY","died in the last century.",1,"Man",78
"A2A95LW49NBG2E","ever had their work included in a major literary anthology (e.g. Norton, Oxford).",3,"Woman",78
"A14FEOINUAM721","ever had their work adapted into a major motion picture.",5,"Man",78
"A1CVJIKV6XJ6G8","wrote at least one book that sold over 1 million copies.",6,"Woman",78
"A1TJ3TVCUUOYU3","wrote at least one book that remained in continuous print for over 50 years.",1,"Woman",78
"A2M5I73ST0IRPE","have been writing professionally for over 30 years.",6,"Woman",78
"A2EL1B9BOAJID","wrote more than 10 books.",1,"Woman",78
"A1Q0CYO7J7PQOC","had their work translated into at least 20 languages.",5,"Man",78
"AXKCFKFPFLZYM","wrote primarily about war and civil unrest.",6,"Woman",78
"AUQTHU5AOZVQC","ever wrote fiction.",6,"Man",78
"A296QHISHGA73J","were born in the United States.",1,"Man",78
"A12TZ1W76AGOF9","wrote  books, poems or essays spanning multiple genres.",4,"Woman",78
"A2OECH4E1V7MIP","were born in the 1800s.",1,"Man",78
"A3TUAUXK9OP8IJ","are still alive.",5,"Woman",78
"A2BJGFUAAZ0NWF","won a Pulitzer Prize, Nobel Prize or National Book Award.",1,"Woman",78
"A29AZUSDSSMKZL","published their first book in last 5 years.",2,"Man",78
"A2I37S7GQR6X1H","published their first book before the age of 25.",1,"Man",78
"AJMBXR9T9XOUG","wrote an autobiography.",6,"Man",78
"AF1AH59OFZR5Q","ever wrote poetry.",2,"Man",78
"A1XZVHJEBKIUH9","had their work translated into at least 20 languages.",6,"Man",78
"A3D9L16WP7DA5H","have been writing professionally for over 30 years.",2,"Woman",78
"A2B2HQHFBYLTXU","wrote at least one book that remained in continuous print for over 50 years.",3,"Man",78
"A2BLP3G105MLH1","wrote at least one book that appears on the American Library Association's banned books list.",4,"Woman",78
"AEAXBNDD879C1","wrote at least one book that appears on the American Library Association's banned books list.",1,"Man",78
"A3V191XT9SMPH6","ever wrote poetry.",2,"Woman",78
"A2LAE5LO34AK","are still alive.",2,"Man",78
"A1CUI91SURS24A","published their first book before the age of 25.",1,"Woman",78
"A3DNUHMO56BK9X","were racial minorities.",4,"Man",78
"A1DY3PIMI76PJO","wrote one of the 500 most commonly taught books in US colleges.",5,"Woman",78
"A2CB7WDJ9V6VVN","were born in the United States.",5,"Woman",78
