"study","attribute","gap","est_pp","se_pp","ci_lo_pp","ci_hi_pp","p","gap_label","is_target"
"Study 2 (gender)","gender feedback -> female pick (TARGET)",-0.2,29.15,8.409,12.66,45.63,5e-04,"gap = -0.20",TRUE
"Study 2 (gender)","gender feedback -> female pick (TARGET)",-0.1,22.73,6.473,10.04,35.42,4e-04,"gap = -0.10",TRUE
"Study 2 (gender)","gender feedback -> female pick (TARGET)",0,16.32,5.351,5.83,26.81,0.0023,"gap = +0.00",TRUE
"Study 2 (gender)","gender feedback -> female pick (TARGET)",0.1,9.9,5.56,-0.99,20.8,0.0749,"gap = +0.10",TRUE
"Study 2 (gender)","gender feedback -> female pick (TARGET)",0.2,3.49,6.981,-10.19,17.17,0.6171,"gap = +0.20",TRUE
"Study 2 (gender)","pages feedback -> pages pick",-0.2,2.21,5.866,-9.28,13.71,0.706,"gap = -0.20",FALSE
"Study 2 (gender)","pages feedback -> pages pick",-0.1,0.35,6.259,-11.92,12.62,0.9552,"gap = -0.10",FALSE
"Study 2 (gender)","pages feedback -> pages pick",0,-1.51,9.78,-20.68,17.66,0.8773,"gap = +0.00",FALSE
"Study 2 (gender)","pages feedback -> pages pick",0.1,-3.37,14.277,-31.35,24.61,0.8133,"gap = +0.10",FALSE
"Study 2 (gender)","pages feedback -> pages pick",0.2,-5.23,19.072,-42.61,32.15,0.7838,"gap = +0.20",FALSE
"Study 2 (gender)","year feedback -> year pick",-0.2,-0.32,6.541,-13.15,12.5,0.9605,"gap = -0.20",FALSE
"Study 2 (gender)","year feedback -> year pick",-0.1,3.54,6.321,-8.85,15.93,0.5752,"gap = -0.10",FALSE
"Study 2 (gender)","year feedback -> year pick",0,7.41,7.798,-7.87,22.69,0.342,"gap = +0.00",FALSE
"Study 2 (gender)","year feedback -> year pick",0.1,11.28,10.264,-8.84,31.39,0.272,"gap = +0.10",FALSE
"Study 2 (gender)","year feedback -> year pick",0.2,15.14,13.174,-10.68,40.96,0.2504,"gap = +0.20",FALSE
"Study 2 (gender)","entertainer feedback -> entertainer pick",-0.2,5.68,8.511,-11,22.36,0.5046,"gap = -0.20",FALSE
