"study","attribute","n_total","n_below","n_above","n_at","pool_rate","init_mean","opt2_est_pp","opt2_se_pp","opt2_p","opt2_ci_lo_pp","opt2_ci_hi_pp","opt3_main_pp","opt3_main_se_pp","opt3_main_p","opt3_main_ci_lo","opt3_main_ci_hi","opt3_inter_est","opt3_inter_se","opt3_inter_p","opt3_inter_ci_lo","opt3_inter_ci_hi","is_target"
"Study 2 (gender)","gender feedback -> female pick (TARGET)",302,160,142,0,0.2,0.2511,14.57,5.728,0.0114701673332174,3.3,25.84,16.32,5.351,0.002499985100646,5.79,26.85,-0.6414,0.2788,0.0221112733371517,-1.19,-0.0927,TRUE
"Study 2 (gender)","pages feedback -> pages pick",302,257,45,0,0.28,0.1159,6.77,6.126,0.270009157445971,-5.29,18.82,-1.51,9.78,0.877403470238264,-20.76,17.74,-0.1861,0.5085,0.714558668377701,-1.1868,0.8145,FALSE
"Study 2 (gender)","year feedback -> year pick",302,197,105,0,0.76,0.6766,-6.2,6.792,0.362290306802238,-19.56,7.17,7.41,7.798,0.342819569484859,-7.94,22.75,0.3866,0.3441,0.262114663519149,-0.2906,1.0639,FALSE
"Study 2 (gender)","entertainer feedback -> entertainer pick",302,233,69,0,0.44,0.2638,7.85,9.177,0.393186300622359,-10.21,25.91,-5.21,13.546,0.70089037155732,-31.87,21.45,-0.5444,0.3952,0.169392613159448,-1.3221,0.2333,FALSE
"Study 3A (race)","race feedback -> race pick (TARGET)",1000,686,314,0,0.16,0.162,3.58,3.161,0.258191595621043,-2.63,9.78,8.84,2.586,0.000650480343769308,3.77,13.92,-0.1339,0.1832,0.465137342224382,-0.4934,0.2257,TRUE
"Study 3A (race)","budget feedback -> budget pick",1000,516,484,0,0.4,0.3644,6.02,4.193,0.151334932847757,-2.21,14.25,-0.75,4.143,0.8569243832237,-8.88,7.38,-0.1537,0.224,0.492711155965526,-0.5933,0.2858,FALSE
"Study 3A (race)","year feedback -> year pick",1000,602,398,0,0.68,0.5909,-1.31,4.312,0.760896370432985,-9.77,7.15,5.31,4.607,0.249167046520214,-3.73,14.35,0.0678,0.2546,0.790015966421085,-0.4318,0.5674,FALSE
"Study 3A (race)","duration feedback -> duration pick",1000,727,273,0,0.76,0.6819,-0.78,4.136,0.850420163263981,-8.9,7.34,-7.27,4.223,0.0855781146717213,-15.55,1.02,-0.0732,0.2242,0.744149951212246,-0.5132,0.3668,FALSE
"Study 3B (gender)","gender feedback -> female pick (TARGET)",1000,700,300,0,0.24,0.1755,15.24,3.114,1.14640633335132e-06,9.13,21.35,17.11,2.945,8.30225297485982e-09,11.34,22.89,-0.5235,0.1634,0.00140067882175002,-0.8442,-0.2028,TRUE
"Study 3B (gender)","budget feedback -> budget pick",1000,308,692,0,0.32,0.3585,-5.11,4.005,0.202138753946397,-12.97,2.75,1.14,3.99,0.774463604556312,-6.69,8.97,0.3005,0.1885,0.111295193195495,-0.0695,0.6704,FALSE
"Study 3B (gender)","year feedback -> year pick",1000,402,598,0,0.52,0.6245,-9.69,6.142,0.115064212094756,-21.74,2.37,-7.41,6.031,0.219565287319865,-19.24,4.43,0.5011,0.2881,0.0822948978302741,-0.0643,1.0664,FALSE
"Study 3B (gender)","political feedback -> political pick",1000,647,353,0,0.4,0.3523,0.68,3.634,0.850621454972559,-6.45,7.82,-5.78,3.706,0.118971739713733,-13.05,1.49,-0.1709,0.1959,0.383141251237217,-0.5554,0.2135,FALSE
"Study 4A (race)","race feedback -> race pick (TARGET)",1000,613,387,0,0.32,0.2177,8.8,3.132,0.00505237428345516,2.65,14.95,10.43,3.384,0.00210934689596563,3.79,17.07,-0.2625,0.1365,0.0546841750425768,-0.5303,0.0053,TRUE
"Study 4A (race)","books feedback -> book pick",1000,490,510,0,0.6,0.5897,-4.05,3.54,0.252958974644336,-11,2.9,1.85,3.506,0.5983004310044,-5.03,8.73,0.258,0.1928,0.181072583234555,-0.1203,0.6362,FALSE
"Study 4A (race)","oldies feedback -> oldies pick",1000,508,492,0,0.52,0.5655,2.94,3.843,0.444241801817251,-4.6,10.48,8.08,3.909,0.0388889456761594,0.41,15.76,-0.137,0.1918,0.475235482596301,-0.5134,0.2394,FALSE
"Study 4A (race)","poets feedback -> poets pick",1000,754,246,0,0.52,0.4583,2.97,3.645,0.415732003826098,-4.18,10.12,5.79,3.85,0.132952955960661,-1.77,13.34,-0.0441,0.208,0.832053555782131,-0.4523,0.3641,FALSE
"Study 4B (gender)","gender feedback -> female pick (TARGET)",1000,535,465,0,0.24,0.2532,1.8,3.168,0.569315474263484,-4.41,8.02,12.2,3.015,5.58961215763058e-05,6.28,18.12,-0.276,0.1342,0.0399662000809347,-0.5393,-0.0127,TRUE
"Study 4B (gender)","forms feedback -> forms pick",1000,431,569,0,0.44,0.4518,6.09,4.309,0.158185658203865,-2.37,14.54,-7.84,4.34,0.0711772564310608,-16.36,0.68,-0.3562,0.215,0.0978260639729984,-0.7781,0.0656,FALSE
"Study 4B (gender)","sold30m feedback -> sold30m pick",1000,154,846,0,0.32,0.4262,1.52,4.072,0.709052383874714,-6.47,9.51,3.15,4.77,0.50972368304296,-6.21,12.51,-0.1811,0.2362,0.443593095274629,-0.6446,0.2825,FALSE
"Study 4B (gender)","classic feedback -> classic pick",1000,290,710,0,0.68,0.8208,-0.09,4.185,0.982327727499824,-8.31,8.12,0.19,4.983,0.968984610637827,-9.58,9.97,0.1369,0.2107,0.515995988624647,-0.2766,0.5504,FALSE
