StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ec_1_1,ec_1_2,ec_1_3,ec_1_4,ec_1_5,ec_1_6,ec_2,importance,gender,gender_4_TEXT,race,end,workerId,attribute,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please respond truthfully to the items below. - Have you ever been bitten by an insect?,Please respond truthfully to the items below. - Have you ever been to Mexico?,Please respond truthfully to the items below. - Have you ever been to the Moon?,Please respond truthfully to the items below. - Have you ever drank water?,Please respond truthfully to the items below. - Have you ever suffered a fatal heart attack?,Please respond truthfully to the items below. - Are you human?,"Please ignore the question below and instead type in ""one one"" (exactly as shown) as your response to proceed:

What is 13 + 39?","Please rate the importance of considering the following when making selections for this news segment on a scale from 1 to 7 (Not at all important - Very important).



The percentage of experts who [Field-attribute]",What is your gender? - Selected Choice,What is your gender? - Another gender not listed here: - Text,Which race or ethnicity best describes you?,Thank you for taking the survey. Please feel free to leave any comments or feedback!,workerId,attribute,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_4_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""workerId""}","{""ImportId"":""attribute""}","{""ImportId"":""PROLIFIC_PID""}"
2026-05-12 12:44:14,2026-05-12 12:45:58,0,72.94.1.245,100,103,1,2026-05-12 12:45:58,R_3qWejS6XCJoU9Yt,,,,,39.9357,-75.1832,anonymous,EN,1,1,2,1,2,1,one one,6,2,,2,testing,,worked at a university.,
2026-05-12 12:46:20,2026-05-12 12:46:56,0,72.94.1.245,100,35,1,2026-05-12 12:46:57,R_1ReGNzlGpxrT0rm,,,,,39.9357,-75.1832,anonymous,EN,1,1,2,1,2,1,52,,,,,,,,
2026-05-12 12:49:15,2026-05-12 12:49:32,0,72.94.1.245,100,16,1,2026-05-12 12:49:32,R_1kYPkE8nkIcaJji,,,,,39.9357,-75.1832,anonymous,EN,1,1,1,1,1,1,52,,,,,,,,
2026-05-12 13:34:56,2026-05-12 13:35:15,0,98.114.11.12,100,19,1,2026-05-12 13:35:15,R_12hcJkp0U0HVq8R,,,,,39.9195,-75.1565,anonymous,EN,1,1,1,1,1,1,52,,,,,,,,
2026-05-12 12:49:45,2026-05-12 15:20:35,0,72.94.1.245,100,9049,1,2026-05-12 15:20:35,R_6NKVuapGL5quxpj,,,,,39.9357,-75.1832,anonymous,EN,1,1,2,1,2,1,one one,6,1,,1,testing,,were based on the West Coast of the United States.,
2026-05-12 15:21:25,2026-05-12 15:21:46,0,72.94.1.245,100,21,1,2026-05-12 15:21:46,R_3rqptmNgkxlUADA,,,,,39.9357,-75.1832,anonymous,EN,1,1,2,1,2,1,52,,,,,,,,
2026-05-12 15:22:07,2026-05-12 15:22:48,0,72.94.1.245,100,41,1,2026-05-12 15:22:49,R_7phZiaLtNbsxJh7,,,,,39.9357,-75.1832,anonymous,EN,1,1,2,1,2,1,one one,2,1,,2,testing,,were women.,
2026-05-05 15:42:47,2026-05-05 15:43:34,0,128.91.110.156,92,47,0,2026-05-12 15:43:36,R_7KHqamfUOA6X3tO,,,,,39.9495,-75.1719,anonymous,EN,1,1,2,1,2,1,one one,4,1,,1,,,were under 50 years old.,
