StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ec_1_1,ec_1_2,ec_1_3,ec_1_4,ec_1_5,ec_1_6,ec_2,importance,gender,gender_4_TEXT,race,end,workerId,attribute,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please respond truthfully to the items below. - Have you ever been bitten by an insect?,Please respond truthfully to the items below. - Have you ever been to Mexico?,Please respond truthfully to the items below. - Have you ever been to the Moon?,Please respond truthfully to the items below. - Have you ever drank water?,Please respond truthfully to the items below. - Have you ever suffered a fatal heart attack?,Please respond truthfully to the items below. - Are you human?,"Please ignore the question below and instead type in ""one one"" (exactly as shown) as your response to proceed:

What is 13 + 39?","Please rate the importance of considering the following when making selections for this news segment on a scale from 1 to 7 (Not at all important - Very important).



The experts [Field-attribute].",What is your gender? - Selected Choice,What is your gender? - Another gender not listed here: - Text,Which race or ethnicity best describes you?,Thank you for taking the survey. Please feel free to leave any comments or feedback!,workerId,attribute,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_4_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""workerId""}","{""ImportId"":""attribute""}","{""ImportId"":""PROLIFIC_PID""}"
2026-05-12 15:28:47,2026-05-12 15:30:52,0,72.94.1.245,100,125,1,2026-05-12 15:30:52,R_6sBz7FsQotNMiMh,,,,,39.9357,-75.1832,anonymous,EN,1,1,2,1,2,1,one one,4,2,,1,testing,,geographic location,
2026-05-12 15:33:08,2026-05-12 15:33:22,0,72.94.1.245,100,13,1,2026-05-12 15:33:23,R_13eRZfAo9GdVf1f,,,,,39.9357,-75.1832,anonymous,EN,1,1,2,1,2,1,18,,,,,,,,
2026-05-12 16:11:14,2026-05-12 16:13:29,0,72.94.1.245,100,135,1,2026-05-12 16:13:30,R_6GHDIVvWhBgtItz,,,,,39.9357,-75.1832,anonymous,EN,1,1,2,1,2,1,52,,,,,,,,
2026-05-12 16:13:48,2026-05-12 16:14:34,0,72.94.1.245,100,46,1,2026-05-12 16:14:35,R_7dlUCxuGLdWunL3,,,,,39.9357,-75.1832,anonymous,EN,1,1,2,1,2,1,one one,3,2,,2,testing,,age,
2026-05-12 17:00:59,2026-05-12 17:01:17,0,74.143.170.51,100,18,1,2026-05-12 17:01:18,R_6IRNfjjzhi657QB,,,,,41.6868,-81.3399,anonymous,EN,1,2,2,1,2,1," one one",,,,,,,,5c4684826a7dbc00017c0a87
2026-05-12 17:00:27,2026-05-12 17:01:34,0,184.191.116.166,100,66,1,2026-05-12 17:01:35,R_65QPsPxIp7Q0PPj,,,,,38.7591,-77.0924,anonymous,EN,1,1,2,1,2,1,one one,6,1,,5,,,employment type,69b0b5440140899f769646c2
2026-05-12 17:00:35,2026-05-12 17:01:37,0,71.86.96.241,100,62,1,2026-05-12 17:01:37,R_3KuzOvxGPqRpdAe,,,,,34.0515,-84.0713,anonymous,EN,1,2,2,1,2,1,one one,3,2,,4,,,age,69dcebc8ce875834970a4c78
2026-05-12 17:00:46,2026-05-12 17:01:39,0,172.115.24.3,100,53,1,2026-05-12 17:01:40,R_5EaJ4XI3jPnyh4H,,,,,33.8959,-118.3196,anonymous,EN,1,2,2,1,2,1,one one,1,2,,2,,,geographic location,65a09ede5747bb3166d505a4
2026-05-12 17:00:30,2026-05-12 17:01:40,0,73.236.164.70,100,69,1,2026-05-12 17:01:40,R_5z6AfX3BOKLbBgO,,,,,40.5457,-80.0508,anonymous,EN,1,1,2,1,2,1,one one,4,1,,5,,,gender,695fd40c9684d76756749654
2026-05-12 17:01:06,2026-05-12 17:01:40,0,174.109.249.77,100,33,1,2026-05-12 17:01:41,R_6652aR6kMjWEhaF,,,,,35.8964,-78.7115,anonymous,EN,1,2,2,1,2,1,52,,,,,,,,6988adde528cbab2cfbec4c9
2026-05-12 17:01:05,2026-05-12 17:01:41,0,76.38.16.188,100,35,1,2026-05-12 17:01:42,R_6kSsQnyyPb6hclN,,,,,35.7622,-78.6016,anonymous,EN,1,2,2,1,2,1,52,,,,,,,,5d0943bf52fb1200194137f5
2026-05-12 17:00:46,2026-05-12 17:01:43,0,68.3.248.173,100,57,1,2026-05-12 17:01:44,R_53prWWIsgAqgCXk,,,,,33.4935,-111.9211,anonymous,EN,1,1,2,1,2,1,one one,1,1,,5,,,gender,6813e67f495e6e5b4d1593a1
2026-05-12 17:01:28,2026-05-12 17:01:45,0,46.110.208.229,100,17,1,2026-05-12 17:01:46,R_3hWJ3SX40q2J4uB,,,,,30.4908,-84.3158,anonymous,EN,1,2,2,1,2,1,52,,,,,,,,69f9f340b0ef0aa17e7d62e4
2026-05-12 17:00:49,2026-05-12 17:01:48,0,38.62.160.45,100,58,1,2026-05-12 17:01:48,R_6rJsEkPaEK0qxCk,,,,,38.2667,-94.3097,anonymous,EN,1,2,2,1,2,1,one one,8,1,,5,,,employment type,5aea85b20fee5000014275b2
2026-05-12 17:00:47,2026-05-12 17:01:53,0,153.66.149.5,100,65,1,2026-05-12 17:01:53,R_6nj9Z7kKOyyiMEB,,,,,38.3467,-81.6359,anonymous,EN,1,2,2,2,2,1,"""one one""",2,1,,5,,,gender,570d891d42a1db000fc65b4d
2026-05-12 17:01:03,2026-05-12 17:01:59,0,174.104.243.221,100,55,1,2026-05-12 17:01:59,R_708CwWRhAlMoJ0K,,,,,41.3772,-82.0132,anonymous,EN,1,2,2,1,2,1,one one,4,2,,5,,,gender,660443c5c86206f906f8762e
2026-05-12 17:00:41,2026-05-12 17:02:02,0,173.242.133.59,100,80,1,2026-05-12 17:02:03,R_17ePycbDiXZ6eJU,,,,,37.6875,-85.8747,anonymous,EN,1,2,2,1,2,1,one one,4,1,,5,,,geographic location,558b20eefdf99b7dfdbac3c9
2026-05-12 17:00:56,2026-05-12 17:02:05,0,173.27.206.225,100,68,1,2026-05-12 17:02:06,R_6g2sPOqAa0yAwld,,,,,42.4649,-90.6829,anonymous,EN,1,1,2,1,2,1,one one,6,1,,5,,,geographic location,5d45c2d1da9cb60015aa4312
2026-05-12 17:01:14,2026-05-12 17:02:12,0,172.59.200.212,100,58,1,2026-05-12 17:02:12,R_7HjnM1RxCwFLBgr,,,,,33.3897,-111.8469,anonymous,EN,1,1,2,1,2,1,one one,3,2,,5,,,age,5afb313ab1e92800016421b6
2026-05-12 17:01:10,2026-05-12 17:02:14,0,68.96.110.52,100,64,1,2026-05-12 17:02:15,R_3P1ZTwNjE5dev7z,,,,,36.1091,-114.9206,anonymous,EN,1,1,2,1,2,1,one one,2,1,,5,,,age,6785704c3b1ab8813a4958b0
2026-05-12 17:00:52,2026-05-12 17:02:17,0,99.45.183.100,100,85,1,2026-05-12 17:02:17,R_1jpq4F5ylP62pHB,,,,,34.8287,-86.8889,anonymous,EN,1,1,2,1,2,1,one one,7,1,,2,,,employment type,69a3978e79ce47897123957a
2026-05-12 17:00:55,2026-05-12 17:02:21,0,76.92.145.48,100,85,1,2026-05-12 17:02:21,R_3OTRF19V4xH4Nqr,,,,,39.214,-94.5826,anonymous,EN,1,2,2,1,2,1,one one,4,1,,5,none thank you,,employment type,5cb2e89bc29be80001b13ed6
2026-05-12 17:01:20,2026-05-12 17:02:22,0,73.30.20.22,100,62,1,2026-05-12 17:02:22,R_7Et07u2mfaaTP3J,,,,,40.0893,-75.396,anonymous,EN,1,1,2,1,2,1,one one,1,1,,2,,,gender,69e98bd0666a285202c88cf0
2026-05-12 17:01:25,2026-05-12 17:02:27,0,104.58.2.128,100,61,1,2026-05-12 17:02:28,R_332xH8CqAMxfh5x,,,,,30.0523,-95.3707,anonymous,EN,1,2,2,1,2,1,one one,8,2,,5,,,employment type,599c31fd9039240001432724
2026-05-12 17:01:08,2026-05-12 17:02:33,0,99.174.198.77,100,85,1,2026-05-12 17:02:34,R_1EAu69o9UzOrEYU,,,,,32.8687,-96.8626,anonymous,EN,1,2,2,1,2,1,one one,7,1,,2,,,gender,69a181fe116c31dff8efe0ad
2026-05-12 17:01:09,2026-05-12 17:02:37,0,199.80.117.31,100,88,1,2026-05-12 17:02:37,R_7DD0jA4rLXBMbet,,,,,31.2869,-92.4605,anonymous,EN,1,2,2,1,2,1,one one,8,1,,5,,,employment type,5c3689d44d1fd200013e1be4
2026-05-12 17:01:32,2026-05-12 17:02:40,0,71.94.59.13,100,67,1,2026-05-12 17:02:40,R_5946ROYLEtkYB33,,,,,35.279,-120.6579,anonymous,EN,1,2,2,1,2,1,one one,3,1,,5,,,age,60fda8f418c64ff072d22378
2026-05-12 17:01:26,2026-05-12 17:02:44,0,97.187.71.182,100,78,1,2026-05-12 17:02:45,R_5GkUAnmgn7sj7Cd,,,,,38.8003,-90.6265,anonymous,EN,1,2,2,1,2,1,one one,1,1,,5,,,age,69dd33b86f70aa687d35f7fd
2026-05-12 17:01:28,2026-05-12 17:02:47,0,162.202.204.99,100,78,1,2026-05-12 17:02:47,R_3TR8FL9HN0rPzi0,,,,,30.1746,-97.8203,anonymous,EN,1,1,2,1,2,1,one one,8,2,,2,,,employment type,66cb244951abdf73420673a8
2026-05-12 17:00:53,2026-05-12 17:02:49,0,72.94.185.38,100,115,1,2026-05-12 17:02:49,R_5PI9FIyNEw5YRln,,,,,39.9193,-75.4916,anonymous,EN,1,2,2,1,2,1,one one,4,1,,5,N/A,,geographic location,5720a9f6fd3a5200113c1891
2026-05-12 17:01:45,2026-05-12 17:03:04,0,98.96.104.103,100,79,1,2026-05-12 17:03:05,R_52qS6Zn4X6ucqDT,,,,,30.1603,-95.4876,anonymous,EN,1,2,2,1,2,1,one one,6,1,,5,,,employment type,55bb9ae7fdf99b26d27fda01
2026-05-12 17:00:59,2026-05-12 17:03:10,0,162.206.171.39,100,131,1,2026-05-12 17:03:10,R_61RvoALLorbYkYh,,,,,32.6256,-97.3632,anonymous,EN,1,2,2,1,2,1,one one,1,1,,5,,,gender,69ebb894f8655d8b98d1b469
2026-05-12 17:00:49,2026-05-12 17:03:11,0,67.180.245.94,100,142,1,2026-05-12 17:03:12,R_6QYLxR7kuTkfQ1V,,,,,37.3974,-122.001,anonymous,EN,1,2,2,1,2,1,one one,8,2,,2,,,geographic location,69dd297487c7874b5c22b7d6
2026-05-12 17:02:18,2026-05-12 17:03:14,0,173.225.81.61,100,55,1,2026-05-12 17:03:14,R_6ZMSczWPQ3uNunf,,,,,48.1701,-117.1449,anonymous,EN,1,2,2,1,2,1,one one,1,1,,1,,,gender,65d8117c5121deec408cd40c
2026-05-12 17:02:27,2026-05-12 17:03:16,0,73.147.20.120,100,49,1,2026-05-12 17:03:16,R_1SoH6BN7HVbis3D,,,,,37.1362,-80.4125,anonymous,EN,1,2,2,1,2,1,one one,2,1,,5,,,geographic location,6998959c68928b0ed3e02d49
2026-05-12 17:01:26,2026-05-12 17:03:21,0,98.97.104.14,100,114,1,2026-05-12 17:03:21,R_3f292ToU2eqbYiG,,,,,39.7391,-104.9866,anonymous,EN,1,2,2,1,2,1,one one,6,1,,4,none,,geographic location,5f0a686635f72917e94c7a63
2026-05-12 17:03:10,2026-05-12 17:03:31,0,66.10.197.109,100,21,1,2026-05-12 17:03:32,R_67WmWhJbq02EdmK,,,,,30.7773,-86.4832,anonymous,EN,1,2,2,1,2,1,52,,,,,,,,69ef977ccef3b9b90e50ce75
2026-05-12 17:02:39,2026-05-12 17:03:33,0,97.178.66.132,100,53,1,2026-05-12 17:03:34,R_1s6F8EcSaisiWlN,,,,,29.978,-95.4507,anonymous,EN,1,1,2,1,2,1,one one,6,2,,5,,,employment type,5c7f489defd9e20015751167
