StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ec_1_1,ec_1_2,ec_1_3,ec_1_4,ec_1_5,ec_1_6,ec_2,importance,gender,gender_4_TEXT,race,end,workerId,attribute,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please respond truthfully to the items below. - Have you ever been bitten by an insect?,Please respond truthfully to the items below. - Have you ever been to Mexico?,Please respond truthfully to the items below. - Have you ever been to the Moon?,Please respond truthfully to the items below. - Have you ever drank water?,Please respond truthfully to the items below. - Have you ever suffered a fatal heart attack?,Please respond truthfully to the items below. - Are you human?,"Please ignore the question below and instead type in ""one one"" (exactly as shown) as your response to proceed:

What is 13 + 39?","Please rate the importance of considering the following when making selections for this news segment on a scale from 1 to 7 (Not at all important - Very important).



The percentage of experts who [Field-attribute]",What is your gender? - Selected Choice,What is your gender? - Another gender not listed here: - Text,Which race or ethnicity best describes you?,Thank you for taking the survey. Please feel free to leave any comments or feedback!,workerId,attribute,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_4_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""workerId""}","{""ImportId"":""attribute""}","{""ImportId"":""PROLIFIC_PID""}"
2026-05-14 16:29:01,2026-05-14 16:29:50,0,72.94.1.245,100,49,1,2026-05-14 16:29:51,R_7fC5QuDZvRtbZxO,,,,,39.9357,-75.1832,anonymous,EN,1,1,2,1,2,1,one one,6,2,,3,testing,,were under 50 years old.,{{%PROLIFIC_PID%}}
2026-05-14 16:30:02,2026-05-14 16:30:18,0,72.94.1.245,100,15,1,2026-05-14 16:30:19,R_1aWx36LQnKyd6U5,,,,,39.9357,-75.1832,anonymous,EN,1,1,2,1,2,1,52,,,,,,,,{{%PROLIFIC_PID%}}
2026-05-15 14:02:34,2026-05-15 14:03:14,0,76.180.66.222,100,40,1,2026-05-15 14:03:15,R_6ckI75tJdcnnGAt,,,,,42.9297,-78.7434,anonymous,EN,1,2,2,1,2,1,one one,3,2,,5,,,worked at a university.,5a6c9c583fb6420001c308d7
2026-05-15 14:02:27,2026-05-15 14:03:23,0,98.52.210.49,100,55,1,2026-05-15 14:03:23,R_71ZLseVqPI1wimu,,,,,41.9703,-87.664,anonymous,EN,1,1,2,1,2,1,one one,6,3,,5,,,were women.,666097c5dbffa0803033094d
2026-05-15 14:02:29,2026-05-15 14:03:27,0,24.13.148.179,100,57,1,2026-05-15 14:03:28,R_3zAAKlA78JYMURr,,,,,42.1081,-87.7359,anonymous,EN,1,1,2,1,2,1,one one,1,2,,5,no comments,,were based on the West Coast of the United States.,5f16fa8069dc2901cd1e0b05
2026-05-15 14:02:33,2026-05-15 14:03:32,0,108.77.247.1,100,59,1,2026-05-15 14:03:33,R_6N328cBlIFZMrKR,,,,,32.853,-79.9876,anonymous,EN,1,1,2,1,2,1,one one,1,1,,5,,,were based on the West Coast of the United States.,55e733aa41988f001075ce1f
2026-05-15 14:02:49,2026-05-15 14:03:46,0,99.31.77.141,100,56,1,2026-05-15 14:03:47,R_7aDXPKU1QmrWp7a,,,,,41.9209,-87.7043,anonymous,EN,1,1,2,1,2,1,one one,6,2,,5,,,worked at a university.,670d26896cf59f0439013716
2026-05-15 14:02:40,2026-05-15 14:03:56,0,35.134.159.169,100,75,1,2026-05-15 14:03:57,R_6ImBE2OoTHafjU9,,,,,38.3698,-90.3785,anonymous,EN,1,2,2,1,2,1,one one,6,2,,5,,,worked at a university.,628f83dc5398c04bac86f9e6
