"study","attribute_label","n","eff_pp","p","se_pp","below_n","below_eff_pp","below_p","below_se_pp","above_n","above_eff_pp","above_p","above_se_pp"
"Study 2 (gender)","gender feedback (TARGET)",302,13.25,0.0109,5.20446988503286,160,24.12,8e-04,7.19399831455477,142,0.98,0.8997,7.7752890373669
"Study 2 (gender)","pages feedback",302,1.29,0.812,5.42366164782853,257,5.06,0.3546,5.46611206465058,45,-19.44,0.3028,18.8655905286276
"Study 2 (gender)","year feedback",302,4.57,0.5,6.7754921385706,197,-2.85,0.7083,7.61746500450911,105,15.59,0.2023,12.2272005716122
"Study 2 (gender)","entertainer feedback",302,5.58,0.5218,8.71094791439996,233,11.87,0.2328,9.94822936326313,69,-9.49,0.6049,18.3428788948286
"Study 3A (race)","race feedback (TARGET)",1000,9.38,4e-04,2.64965479125194,686,10.01,0.0034,3.41749060548756,314,7.07,0.0469,3.55776588178132
"Study 3A (race)","budget feedback",1000,-0.23,0.9538,3.96993159018806,516,4.7,0.3945,5.519768494693,484,-5.66,0.3492,6.04609028288075
"Study 3A (race)","year feedback",1000,6.54,0.1322,4.34412141647461,602,3.59,0.5466,5.95492094312822,398,7.97,0.2109,6.37042203134
"Study 3A (race)","duration feedback",1000,-6.72,0.0652,3.64448024721996,727,-6.44,0.1312,4.26663370541082,273,-8.08,0.2552,7.10136395156862
"Study 3B (gender)","gender feedback (TARGET)",1000,20.56,0,3.17924161825373,700,25.13,0,3.88591156939282,300,10.28,0.0425,5.06755757542841
"Study 3B (gender)","budget feedback",1000,1.98,0.613,3.91462317300089,308,-5.14,0.4942,7.51853315569261,692,5.23,0.2459,4.50720027558862
"Study 3B (gender)","year feedback",1000,-0.29,0.9628,6.2178134551853,402,-16.47,0.0681,9.02789993399034,598,7.58,0.3373,7.8998347444613
"Study 3B (gender)","political feedback",1000,-5.08,0.1558,3.57912905625269,647,-3.52,0.4317,4.47674302092835,353,-7.69,0.1987,5.98320595381639
"Study 4A (race)","race feedback (TARGET)",1000,13.4,0,2.07207381734436,613,16.61,0,2.56844373926043,387,7.58,0.1268,4.96449135813671
"Study 4A (race)","books feedback",1000,0.68,0.8424,3.42010097982154,490,-1.24,0.7903,4.66303784916191,510,3.62,0.4767,5.08698325537716
"Study 4A (race)","oldies feedback",1000,7.44,0.0505,3.80425612787846,508,9.53,0.0671,5.20479577406801,492,5.62,0.3184,5.63266651908911
"Study 4A (race)","poets feedback",1000,6.38,0.0802,3.64670034870039,754,6.18,0.145,4.2403649103975,246,6.25,0.3845,7.18692469600376
"Study 4B (gender)","gender feedback (TARGET)",1000,11.94,1e-04,3.06894178279077,535,13.33,0.0014,4.17259969106716,465,10.2,0.0204,4.3986212263193
"Study 4B (gender)","forms feedback",1000,-8.22,0.0565,4.3100758603744,431,-3.02,0.6662,7.00096475383234,569,-12.52,0.0234,5.52310699233467
"Study 4B (gender)","sold30m feedback",1000,1.21,0.7639,4.02845391887011,154,8.73,0.4152,10.7145888848663,846,-0.12,0.978,4.35154606927563
"Study 4B (gender)","classic feedback",1000,2.06,0.5812,3.73436862637287,290,1.59,0.8332,7.54988454715395,710,2.4,0.5765,4.29719084570041
