"cond","base_condition","gender_feedback","poets_shown","oldies_shown","books_shown","women_shown","female_pick","poets_pick","oldies_pick","books_pick","base_gender","base_poets","base_oldies","base_books","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","gender_code","race_code","num_excluded_total"
"control","low",0,1,1,1,0,0,0,1,0,3,2,2,1,"Jane Austen","J.D. Salinger","Virginia Woolf","Zadie Smith","Charles Dickens","Gabriel Garcia Marquez","Oscar Wilde","White / Caucasian","Man",22,1,1,25
"treat","low",1,0,1,1,1,0,0,0,0,2,1,1,2,"Jane Austen","J.D. Salinger","Michael Crichton","F. Scott Fitzgerald","John Steinbeck","Sylvia Plath","Kurt Vonnegut","White / Caucasian","Woman",45,0,1,25
"treat","low",1,1,1,0,1,0,0,0,0,1,1,1,1,"Ernest Hemingway","Albert Camus","J.D. Salinger","Joyce Carol Oates","Gabriel Garcia Marquez","Kurt Vonnegut","Flann O'Brien","White / Caucasian","Woman",45,0,1,25
"control","high",0,1,1,1,0,1,1,1,0,3,3,3,5,"Charles Dickens","Maya Angelou","Isabel Allende","J.R.R. Tolkien","Jack London","Margaret Atwood","Virginia Woolf","White / Caucasian","Woman",36,0,1,25
"treat","high",1,1,1,0,1,1,1,0,1,6,4,1,2,"Zadie Smith","Margaret Atwood","Sylvia Plath","Maya Angelou","Isabel Allende","Virginia Woolf","Joyce Carol Oates","White / Caucasian","Woman",46,0,1,25
"control","low",0,1,1,1,0,0,0,0,0,2,1,2,2,"Nathaniel Hawthorne","Jane Austen","F. Scott Fitzgerald","J.K. Rowling","Michael Crichton","J.D. Salinger","Neil Gaiman","Black or African American","Man",38,1,0,25
"control","high",0,1,1,1,0,0,0,1,1,3,2,3,3,"Ernest Hemingway","Charles Dickens","Jane Austen","Maya Angelou","J.R.R. Tolkien","J.K. Rowling","Rudyard Kipling","White / Caucasian","Man",52,1,1,25
"control","low",0,1,1,1,0,1,0,0,0,3,2,1,3,"John Steinbeck","Virginia Woolf","J.K. Rowling","George Orwell","Jane Austen","Ray Bradbury","Zadie Smith","Hispanic / Latinx","Man",34,1,0,25
"treat","low",1,0,1,1,1,1,1,1,0,1,2,2,4,"Charles Dickens","George Orwell","J.K. Rowling","F. Scott Fitzgerald","John Steinbeck","Ray Bradbury","Virginia Woolf","White / Caucasian","Man",35,1,1,25
"treat","high",1,0,1,1,1,0,0,1,1,5,4,2,3,"J.K. Rowling","Jack London","Margaret Atwood","Virginia Woolf","Maya Angelou","Sylvia Plath","Rudyard Kipling","White / Caucasian","Woman",47,0,1,25
"treat","high",1,0,1,1,1,1,1,1,1,3,3,3,3,"J.R.R. Tolkien","Jane Austen","Maya Angelou","Oscar Wilde","Margaret Atwood","Charles Dickens","Lucy Maud","Asian / Pacific Islander","Woman",31,0,0,25
"treat","high",1,1,1,0,1,0,0,1,1,3,1,3,4,"Ayn Rand","Charles Dickens","J.R.R. Tolkien","Jack London","J.K. Rowling","Jane Austen","Rudyard Kipling","White / Caucasian","Man",41,1,1,25
"treat","high",1,0,1,1,1,1,0,0,0,3,5,3,2,"Charles Dickens","Virginia Woolf","Sylvia Plath","J.R.R. Tolkien","Maya Angelou","Neil Gaiman","Ayn Rand","Asian / Pacific Islander","Man",51,1,0,25
"treat","high",1,1,0,1,1,0,1,0,0,2,0,4,3,"J.K. Rowling","Ernest Hemingway","J.R.R. Tolkien","Oscar Wilde","Jack London","Jane Austen","Neil Gaiman","White / Caucasian","Man",33,1,1,25
"treat","low",1,1,1,0,1,0,1,1,1,2,2,1,1,"John Steinbeck","J.D. Salinger","Sylvia Plath","Jane Austen","George Orwell","Ernest Hemingway","Charles Dickens","Asian / Pacific Islander","Woman",42,0,0,25
"treat","low",1,1,1,0,1,0,0,1,0,2,3,3,2,"J.K. Rowling","Jane Austen","Nathaniel Hawthorne","Charles Dickens","F. Scott Fitzgerald","George Orwell","Oscar Wilde","White / Caucasian","Woman",38,0,1,25
"treat","high",1,1,1,0,1,0,0,1,0,2,3,3,4,"Jack London","J.K. Rowling","J.R.R. Tolkien","Charles Dickens","George Orwell","Maya Angelou","Ernest Hemingway","White / Caucasian","Man",48,1,1,25
"treat","low",1,1,1,0,1,1,1,0,0,2,1,3,1,"J.D. Salinger","Virginia Woolf","Oscar Wilde","John Steinbeck","Jane Austen","F. Scott Fitzgerald","Sylvia Plath","White / Caucasian","Woman",62,0,1,25
